训练实验,留出实验,训练E_MPa,训练E阶段1状态,训练E阶段1相对RMSE,留出E独立拟合_MPa,E迁移虚功RMSE_N,E迁移相对RMSE,E留出观测数,训练E点数,留出E点数,阶段2训练点数,阶段2留出点数,阶段2训练状态,阶段2训练相对RMSE,阶段2训练拟合RMSE_MPa,训练Y_MPa,训练H_MPa,阶段2迁移RMSE_MPa,状态,备注
S16_XY_0.2,S15_XY_0.2,3410.4231892442936,PASS,0.047622037212947645,3536.4456959127488,75.57085045627487,0.19104395161625395,96,82,96,222,258,PASS,0.125876298859723,7.417940158958033,39.49256659103651,156.39344708256243,11.101862386118986,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S17_XY_20,S15_XY_0.2,4997.673918545973,PASS,0.056496551442705094,3536.4456959127488,176.89345533293155,0.4471886252148233,96,8,96,4,258,NOT_COMPUTED,,,,,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S18_XY_2,S15_XY_0.2,4605.755779963847,PASS,0.013555140634176168,3536.4456959127488,138.99840806284226,0.35138952366373744,96,66,96,93,258,PASS,0.09191255046032683,5.247813435827672,43.77022296985942,632.2712836702859,52.81713518835412,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S15_XY_0.2,S16_XY_0.2,3536.4456959127488,REVIEW_REQUIRED,0.1119981269565175,3410.4231892442936,32.02496911144366,0.08839416465790255,82,96,82,258,222,PASS,0.1721484577076665,9.606355885084598,34.0550813176409,154.56311626634022,9.261939887382077,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S17_XY_20,S16_XY_0.2,4997.673918545973,PASS,0.056496551442705094,3410.4231892442936,170.57482975983808,0.4708144927732962,82,8,82,4,222,NOT_COMPUTED,,,,,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S18_XY_2,S16_XY_0.2,4605.755779963847,PASS,0.013555140634176168,3410.4231892442936,129.87723216378762,0.35848245177841964,82,66,82,93,222,PASS,0.09191255046032683,5.247813435827672,43.77022296985942,632.2712836702859,41.63248896184323,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S15_XY_0.2,S17_XY_20,3536.4456959127488,REVIEW_REQUIRED,0.1119981269565175,4997.673918545973,190.5673060693506,0.30340055555069706,8,96,8,258,4,PASS,0.1721484577076665,9.606355885084598,34.0550813176409,154.56311626634022,19.174144028730872,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S16_XY_0.2,S17_XY_20,3410.4231892442936,PASS,0.047622037212947645,4997.673918545973,205.76815208414706,0.32760169068167005,8,82,8,222,4,PASS,0.125876298859723,7.417940158958033,39.49256659103651,156.39344708256243,14.215689744917796,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S18_XY_2,S17_XY_20,4605.755779963847,PASS,0.013555140634176168,4997.673918545973,72.39324731821017,0.11525666132086086,8,66,8,93,4,PASS,0.09191255046032683,5.247813435827672,43.77022296985942,632.2712836702859,9.3202522657367,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S15_XY_0.2,S18_XY_2,3536.4456959127488,REVIEW_REQUIRED,0.1119981269565175,4605.755779963847,119.20171656789914,0.23321599716523317,66,96,66,258,93,PASS,0.1721484577076665,9.606355885084598,34.0550813176409,154.56311626634022,16.499201531801074,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S16_XY_0.2,S18_XY_2,3410.4231892442936,PASS,0.047622037212947645,4605.755779963847,133.12395300171184,0.2604546003176659,66,82,66,222,93,PASS,0.125876298859723,7.417940158958033,39.49256659103651,156.39344708256243,11.721620512615317,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
S17_XY_20,S18_XY_2,4997.673918545973,PASS,0.056496551442705094,4605.755779963847,45.00340584199349,0.08804834755289605,66,8,66,4,93,NOT_COMPUTED,,,,,,DIAGNOSTIC_ONLY,该审计未解除ROI、独立ν、虚功残差及重复性门槛；不得发布正式材料参数。
