照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000106.jpg,10.606500,44.36520043,44.75341494,44.56057601
000107.jpg,10.706500,44.69680900,45.04953771,44.87421308
000108.jpg,10.806500,44.95744597,45.31017468,45.13484406
000109.jpg,10.906500,45.21808295,45.58818746,45.40426653
000110.jpg,11.006500,45.49609573,45.84882444,45.67348162
000111.jpg,11.106500,45.72198111,46.09208562,45.90815227
000112.jpg,11.206600,45.94786649,46.33534679,46.14282684
000113.jpg,11.306600,46.20850347,46.59598377,46.40345697
000114.jpg,11.406600,46.45176464,46.82186915,46.63791830
000115.jpg,11.506600,46.67765002,47.06513033,46.87259138
000116.jpg,11.606600,46.90353541,47.27363991,47.08967849
000117.jpg,11.706600,47.14508347,47.53892676,47.34323376
000118.jpg,11.806600,47.37268196,47.72541067,47.55002754
000119.jpg,11.906700,47.59856734,47.91654446,47.75834982
000120.jpg,12.006700,47.78970113,48.10767824,47.94948044
000121.jpg,12.106700,47.96345911,48.31618782,48.14079265
000122.jpg,12.206700,48.15459290,48.48994581,48.32314209
000123.jpg,12.306700,48.32835088,48.66370379,48.49689695
000124.jpg,12.406700,48.48473307,48.80271018,48.64450108
000125.jpg,12.506700,48.65849105,48.97646816,48.81825629
000126.jpg,12.606800,48.79749744,49.11547455,48.95726047
000127.jpg,12.706800,48.95387963,49.25448094,49.10487035
000128.jpg,12.806800,49.08554411,49.39348733,49.24023792
000129.jpg,12.906800,49.23189240,49.53249372,49.38287924
000130.jpg,13.006800,49.35352299,49.63674851,49.49574351
000131.jpg,13.106800,49.49252938,49.72362750,49.60848215
000132.jpg,13.206800,49.59678417,49.84525809,49.72148677
000133.jpg,13.306900,49.66628736,49.91476128,49.79098931
000134.jpg,13.406900,49.77054216,50.01901607,49.89524313
000135.jpg,13.506900,49.85742115,50.10589507,49.98212132
000136.jpg,13.606900,49.92692434,50.15802246,50.04287361
000137.jpg,13.706900,49.99642754,50.22752566,50.11237625
000138.jpg,13.806900,50.04855493,50.29702885,50.17325334
000139.jpg,13.906900,50.16822769,50.33178045,50.25020369
000140.jpg,14.007000,50.20493712,50.41865944,50.31213873
000141.jpg,14.107000,50.25706451,50.43603524,50.34678845
000142.jpg,14.207000,50.30919191,50.50553843,50.40765197
000143.jpg,14.307000,50.37869510,50.54029003,50.45968663
000144.jpg,14.407000,50.39607090,50.54029003,50.46833501
000145.jpg,14.507000,50.43082250,50.60979322,50.52054561
000146.jpg,14.607000,50.46557409,50.64454482,50.55529705
