样本末帧,E/MPa,虚功均方根残差/N,样本点数,Y/MPa,H/MPa,拟合均方根残差/MPa
000005.jpg,3771.3101130284194,4.758989914130596,4,,,
000006.jpg,4340.3722207465125,7.744855841903332,6,,,
000007.jpg,4200.907432734578,7.319909179444932,8,,,
000008.jpg,4108.133259709758,7.597978280601265,10,,,
000009.jpg,4030.3656644072407,7.686238111422954,12,,,
000010.jpg,4045.31239365097,7.267418425155364,14,,,
000011.jpg,4146.315138125335,8.583050251841696,16,,,
000012.jpg,4193.260432898779,8.719104146318443,18,,,
000013.jpg,4172.5929526305035,8.466739831043077,20,,,
000014.jpg,4196.471610989465,8.44040888441727,22,,,
000015.jpg,4223.491361365973,8.8429787720772,24,,,
000016.jpg,4253.84383218143,9.06033502989357,26,,,
000017.jpg,4278.787710468634,9.30508262950412,28,,,
000018.jpg,4319.429157324211,10.514110220689817,30,,,
000019.jpg,4327.218054085816,10.45036758215298,32,,,
000020.jpg,4318.267183641484,10.357931471460192,34,,,
000021.jpg,4323.518823759789,10.41721968521368,36,,,
000022.jpg,4337.2286018203495,10.490342220110833,38,,,
000023.jpg,4353.9256654547125,10.84198461716861,40,,,
000024.jpg,4354.384662232498,10.707251902474432,42,,,
000025.jpg,4351.746740846879,10.55789442832857,44,,,
000026.jpg,4349.190695533631,10.464428811026975,46,,,
000027.jpg,4353.953054519116,10.414018095691535,48,,,
000028.jpg,4356.666066706406,10.55946724546324,50,,,
000029.jpg,4364.143899410075,10.573673894521672,52,,,
000030.jpg,4360.239148824388,10.597899579912333,54,,,
000031.jpg,4359.452117481182,10.488631594621108,56,,,
000032.jpg,4359.092635209655,10.472698479555387,58,,,
000033.jpg,4356.629520946473,10.444226465644086,60,,,
000034.jpg,4354.877940844607,10.429841624672209,62,,,
000035.jpg,4353.843355134844,10.40431938880349,64,,,
000036.jpg,4348.3417146526,10.537500019943684,66,,,
000051.jpg,,,2,-1535.3182576250513,1578249.7291322555,5.859285502108464e-14
000052.jpg,,,3,42.05969928701748,4685.044041645188,0.3371558050235944
000053.jpg,,,4,42.56839013128705,4196.1267940857915,0.2949942789933944
000054.jpg,,,5,41.69480809594857,5025.926984564161,0.3265321812719771
000055.jpg,,,6,42.12574355367952,4646.249358682921,0.30931358120347807
000056.jpg,,,7,41.657374474158836,5058.940464403421,0.3364340002013999
000057.jpg,,,8,41.54720230752816,5150.485145269792,0.3173360333540953
000058.jpg,,,9,41.80016063493773,4949.104783487224,0.31698958839507807
000059.jpg,,,10,42.004818543714336,4792.265254444415,0.31594468918218294
000060.jpg,,,11,42.08238947569899,4734.484113914423,0.3043954223046934
000061.jpg,,,12,42.10015851336732,4721.603436530986,0.29166531565856424
000062.jpg,,,13,42.42277451850671,4501.623220760763,0.340993267322067
000063.jpg,,,14,42.767099119242566,4274.294565076169,0.4039464446752052
000064.jpg,,,15,43.0712153741802,4079.400899609978,0.45539052255027584
000065.jpg,,,16,43.40941853540213,3871.1957567883755,0.5197146505288938
000066.jpg,,,17,43.64567477265696,3729.0380615295658,0.5505743752750429
000067.jpg,,,18,43.93756058015677,3560.5109985292706,0.6046175744432548
000068.jpg,,,19,44.247064223964784,3388.0062387147455,0.6686201636592606
000069.jpg,,,20,44.476128288336014,3262.1462033501975,0.7067324498686337
000070.jpg,,,21,44.82347794050367,3081.432804006838,0.7947383396135045
000071.jpg,,,22,45.1051767343447,2938.0904410273447,0.8544651213973247
000072.jpg,,,23,45.445758965964274,2772.2576290552715,0.9403453837690036
000073.jpg,,,24,45.77650093557139,2616.183661803707,1.022307001610501
000074.jpg,,,25,46.138831227658244,2451.764265488306,1.1188325763291258
000075.jpg,,,26,46.4739055298419,2303.8626691033664,1.203996776774645
000076.jpg,,,27,46.769046093819824,2176.818268920927,1.2721097546586864
000077.jpg,,,28,47.08006013633889,2047.8645476297518,1.3481758641545478
000078.jpg,,,29,47.36053710963821,1934.4871311527563,1.4122116545015033
000079.jpg,,,30,47.64753006528111,1822.5065800363889,1.4800757448064858
000080.jpg,,,31,47.919429926565385,1719.3288326340066,1.5431470800382985
000081.jpg,,,32,48.19525043430097,1618.293435633783,1.6082958319432268
000082.jpg,,,33,48.44742187343675,1528.282199859814,1.6639289605720036
000083.jpg,,,34,48.67148191556282,1450.0357413376041,1.70896827162129
000084.jpg,,,35,48.902461361954416,1372.2324748742153,1.757532563061643
000085.jpg,,,36,49.11889786817169,1301.2256812633648,1.8009569158582008
000086.jpg,,,37,49.3225820116011,1236.10121343101,1.8402593548787285
000087.jpg,,,38,49.524153697610316,1173.6796264029886,1.8790482608492574
000088.jpg,,,39,49.71193684818111,1116.9895730004662,1.9127007397933304
000089.jpg,,,40,49.88501007929029,1065.957844980692,1.941079227708274
000090.jpg,,,41,50.0494916924985,1018.7044344637466,1.9667401834033522
000091.jpg,,,42,50.20652767300816,974.7039946823271,1.9904506689563746
000092.jpg,,,43,50.35332712087779,934.5236369914725,2.010746071483757
000093.jpg,,,44,50.49223680883847,897.418756219209,2.028520991495219
000094.jpg,,,45,50.62716192870995,862.354005022756,2.045117855863386
000095.jpg,,,46,50.755638164039844,829.7633689154775,2.0597962547423156
000096.jpg,,,47,50.87501437762114,800.1008476165911,2.0716598513796782
000097.jpg,,,48,50.99366205311748,771.4044968274783,2.083954502609573
000098.jpg,,,49,51.108616407240596,744.3138055722292,2.0951098271792197
000099.jpg,,,50,51.21530709159693,719.6497507284053,2.103775835523601
000100.jpg,,,51,51.32415534092854,695.2407831295149,2.113569500540852
000101.jpg,,,52,51.43098453478816,671.8775187916964,2.1230980131470436
000102.jpg,,,53,51.526387333230204,651.2692933984418,2.1292202134622484
000103.jpg,,,54,51.61988855385882,631.5587822648594,2.135031449345128
000104.jpg,,,55,51.71427058299812,612.1974439756627,2.1415541368904787
000105.jpg,,,56,51.80854524682008,593.3593425911965,2.1483492517189693
000106.jpg,,,57,51.89825486577832,575.7703938516954,2.154038050200108
000107.jpg,,,58,51.98424823188061,559.2516797322374,2.1587603749090434
000108.jpg,,,59,52.071007536419664,542.990540241866,2.1643119728122877
000109.jpg,,,60,52.15811073063978,527.0901799816642,2.170152146148356
000110.jpg,,,61,52.242068726072006,512.0531965825095,2.175378483533037
000111.jpg,,,62,52.32638260537117,497.32487500014247,2.1810206774604333
000112.jpg,,,63,52.408568718516534,483.2464485317955,2.186422669489454
000113.jpg,,,64,52.4918063258228,469.3366109877089,2.192573206408072
000114.jpg,,,65,52.57372944951839,455.93905165396797,2.1985587101399076
000115.jpg,,,66,52.65214197979065,443.341548132795,2.2036276485053254
000116.jpg,,,67,52.729728600724926,431.1507542561301,2.208632033352279
000117.jpg,,,68,52.80815940919187,419.1176244128397,2.2142611317958814
000118.jpg,,,69,52.88688376974699,407.30733706214954,2.2203686639523053
000119.jpg,,,70,52.966803954566046,395.5953133877347,2.2273027244699035
000120.jpg,,,71,53.04466472765537,384.4003228046774,2.233782208960352
000121.jpg,,,72,53.12175929619087,373.5509053170819,2.240181699753019
000122.jpg,,,73,53.200175550788295,362.77626849888225,2.247342504693337
000123.jpg,,,74,53.27786580827907,352.3133518974578,2.2545981745821484
000124.jpg,,,75,53.35645846494149,341.9662706165038,2.2625040870693027
000125.jpg,,,76,53.43439841556,331.9114153466467,2.2704659903883946
