照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000095.jpg,1.892200,59.29416975,58.70947221,59.00399379
000096.jpg,1.912200,59.35434489,58.78886996,59.07363731
000097.jpg,1.932300,59.39446164,58.82856883,59.11354675
000098.jpg,1.952300,59.49475353,58.90796658,59.20354104
000099.jpg,1.972300,59.55492866,58.98736433,59.27318453
000100.jpg,1.992300,59.61510380,59.06676207,59.34283302
000101.jpg,2.012400,59.69533731,59.10646094,59.40308829
000102.jpg,2.032400,59.73802154,59.16108659,59.45165363
000103.jpg,2.052400,59.81568758,59.22555756,59.52281664
000104.jpg,2.072400,59.87586271,59.28510587,59.58268082
000105.jpg,2.092400,59.93603784,59.36450362,59.65232424
000106.jpg,2.112500,59.99621298,59.40420249,59.70240917
000107.jpg,2.132500,60.05638811,59.48360024,59.77205257
000108.jpg,2.152500,60.07644649,59.52329911,59.80179149
000109.jpg,2.172500,60.15668000,59.60269686,59.88161036
000110.jpg,2.192600,60.19679676,59.64239573,59.92151979
000111.jpg,2.212600,60.23691351,59.72179347,59.98101247
000112.jpg,2.232600,60.25697189,59.76149235,60.01076624
000113.jpg,2.252600,60.28986763,59.80674906,60.04976593
000114.jpg,2.272700,60.33720540,59.86073953,60.10038899
000115.jpg,2.292700,60.39738054,59.90043840,60.15044908
000116.jpg,2.312700,60.43749729,59.97983615,60.20997125
000117.jpg,2.332700,60.45755567,60.03938446,60.24955847
000118.jpg,2.352800,60.47761405,60.07908333,60.27933676
000119.jpg,2.372800,60.49767243,60.09893277,60.29929138
000120.jpg,2.392800,60.53778918,60.13863164,60.33920061
000121.jpg,2.412800,60.59796432,60.17833051,60.38924091
000122.jpg,2.432900,60.61802269,60.21802939,60.41901908
000123.jpg,2.452900,60.63808107,60.23787882,60.43897370
000124.jpg,2.472900,60.63808107,60.27376660,60.45674711
000125.jpg,2.492900,60.67819783,60.27757770,60.47888293
000126.jpg,2.513000,55.48307795,54.81898267,55.15402896
000127.jpg,2.533000,31.41302447,30.10643427,30.78053499
000128.jpg,2.553000,6.76127802,5.59238023,6.25922995
