照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000001.jpg,0.105000,0.00000000,0.00000000,0.00000000
000002.jpg,0.205000,0.62159390,0.64511171,0.63368020
000003.jpg,0.305000,1.11004079,1.13355860,1.12198457
000004.jpg,0.405000,1.61657831,1.60391487,1.61028393
000005.jpg,0.505100,2.12311583,2.14663364,2.13497188
000006.jpg,0.605100,2.66583459,2.65317116,2.65952549
000007.jpg,0.705100,3.15428149,3.14161805,3.14796887
000008.jpg,0.805100,3.67890963,3.68433682,3.68162622
000009.jpg,0.905100,4.22570516,4.21508010,4.22040266
000010.jpg,1.005100,4.78243779,4.80595561,4.79423996
000011.jpg,1.105100,5.30706594,5.27631187,5.29175593
000012.jpg,1.205200,5.77742220,5.81903064,5.79833839
000013.jpg,1.305200,6.28395972,6.30747754,6.29575157
000014.jpg,1.405200,6.80858787,6.85019630,6.82948715
000015.jpg,1.505200,7.31512538,7.35673382,7.33601810
000016.jpg,1.605200,7.82166290,7.89945259,7.86084643
000017.jpg,1.705200,8.34629105,8.38789948,8.36717286
000018.jpg,1.805200,8.85282856,8.89443700,8.87370595
000019.jpg,1.905300,9.35936608,9.40097452,9.38023951
000020.jpg,2.005300,9.88042704,9.90394486,9.89220692
000021.jpg,2.105300,10.39053174,10.48641206,10.43880215
000022.jpg,2.205300,10.89706926,10.99294958,10.94532439
000023.jpg,2.305300,11.42169740,11.46330584,11.44255836
000024.jpg,2.405300,11.87396305,11.96984336,11.92219236
000025.jpg,2.505300,12.36240994,12.44019963,12.40148776
000026.jpg,2.605400,12.86894746,12.94673715,12.90801810
000027.jpg,2.705400,13.37548497,13.43518404,13.40543420
000028.jpg,2.805400,13.86393187,13.92363093,13.89387759
000029.jpg,2.905400,14.33428813,14.41207782,14.37334085
000030.jpg,3.005400,14.84082565,14.91861534,14.87987300
000031.jpg,3.105400,15.41972567,15.49751536,15.45876731
000032.jpg,3.205400,15.89008194,15.93169038,15.91092696
000033.jpg,3.305500,16.34234758,16.43822789,16.39049807
000034.jpg,3.405500,16.83079447,16.90858416,16.86982383
000035.jpg,3.505500,17.33733199,17.37894043,17.35817361
000036.jpg,3.605500,17.78959763,17.84929669,17.81952216
000037.jpg,3.705500,18.25995390,18.33774359,18.29897275
000038.jpg,3.805500,18.73031016,18.82619048,18.77843390
000039.jpg,3.905500,19.23684768,19.27845612,19.25768561
000040.jpg,4.005500,19.70720395,19.73072176,19.71897337
000041.jpg,4.105600,20.21832784,20.24184565,20.23009700
000042.jpg,4.205600,20.72027898,20.77997805,20.75019292
000043.jpg,4.305600,21.20872588,21.21415306,21.21143999
000044.jpg,4.405600,21.66099152,21.68450933,21.67275999
000045.jpg,4.505600,22.11325716,22.15486560,22.13409071
000046.jpg,4.605600,22.58361342,22.62522186,22.60444637
000047.jpg,4.705600,23.03587907,23.09557813,23.06578654
000048.jpg,4.805700,23.47005408,23.54784377,23.50904545
000049.jpg,4.905700,23.94041035,24.00010941,23.97031564
000050.jpg,5.005700,24.41076661,24.47046568,24.44067083
000051.jpg,5.105700,24.86303226,24.94082195,24.90201823
000052.jpg,5.205700,25.38536723,25.40888504,25.39713430
000053.jpg,5.305700,25.83992604,25.88153448,25.86075536
000054.jpg,5.405700,26.31028231,26.36998137,26.34018258
000055.jpg,5.505800,26.74445732,26.78606576,26.76528580
000056.jpg,5.605800,27.19672296,27.23833140,27.21755104
000057.jpg,5.705800,27.63089798,27.69059704,27.66079583
000058.jpg,5.805800,28.04698237,28.12477206,28.08595801
000059.jpg,5.905800,28.48115738,28.59512832,28.53831354
000060.jpg,6.005800,28.91533240,29.02930334,28.97248600
000061.jpg,6.105800,29.36759804,29.46347836,29.41565539
000062.jpg,6.205900,29.80177305,29.89765337,29.84982870
