实验编号,状态,帧数,E/MPa,Y/MPa,H/MPa,虚功文件
S15_XY_0.2,SELF_VFM_SENSITIVITY_ONLY,284,3396.7077200520475,35.4156432950229,162.86363987201094,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\敏感性分析\S15_XY_0.2\S15_XY_0.2_内外虚功.csv
S16_XY_0.2,SELF_VFM_SENSITIVITY_ONLY,257,3221.413268675937,44.9684083422276,139.3700365029159,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\敏感性分析\S16_XY_0.2\S16_XY_0.2_内外虚功.csv
S17_XY_20,SELF_VFM_SENSITIVITY_ONLY,12,4754.544267341975,,,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\敏感性分析\S17_XY_20\S17_XY_20_内外虚功.csv
S18_XY_2,SELF_VFM_SENSITIVITY_ONLY,126,4348.3417146526,53.43439841556,331.9114153466467,D:\2026.9.21_finally\Agents\PA12实验数据处理\VFM自建\敏感性分析\S18_XY_2\S18_XY_2_内外虚功.csv
