照片,时间/s,X向力/N,Y向力/N,DIC导出文件,DIC数据来源,合并文件,点数,DAT原始点数,排除无效点数,状态
000010.jpg,0.0500,0.000000,0.000000,_matchid_export\S21_X_20\000010.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20\merged\000010_DIC全场—力.csv,7769,7771,2,READY
000011.jpg,0.0551,78.950000,0.000000,_matchid_export\S21_X_20\000011.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20\merged\000011_DIC全场—力.csv,7769,7771,2,READY
000012.jpg,0.0601,86.892857,0.000000,_matchid_export\S21_X_20\000012.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20\merged\000012_DIC全场—力.csv,7769,7771,2,READY
000013.jpg,0.0652,148.450000,0.000000,_matchid_export\S21_X_20\000013.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20\merged\000013_DIC全场—力.csv,7769,7771,2,READY
000014.jpg,0.0702,148.450000,0.000000,_matchid_export\S21_X_20\000014.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20\merged\000014_DIC全场—力.csv,7769,7771,2,READY
000015.jpg,0.0753,237.450000,0.000000,_matchid_export\S21_X_20\000015.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20\merged\000015_DIC全场—力.csv,7769,7771,2,READY
000016.jpg,0.0803,237.450000,0.000000,_matchid_export\S21_X_20\000016.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20\merged\000016_DIC全场—力.csv,7769,7771,2,READY
000017.jpg,0.0854,331.950000,0.000000,_matchid_export\S21_X_20\000017.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20\merged\000017_DIC全场—力.csv,7769,7771,2,READY
000018.jpg,0.0905,331.950000,0.000000,_matchid_export\S21_X_20\000018.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20\merged\000018_DIC全场—力.csv,7769,7771,2,READY
000019.jpg,0.0955,425.950000,0.000000,_matchid_export\S21_X_20\000019.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S21_X_20\merged\000019_DIC全场—力.csv,7769,7771,2,READY
