照片,时间/s,X向力/N,Y向力/N,X向位移/mm,X向应变,X向应力/MPa,Y向位移/mm,Y向应变,Y向应力/MPa
000010.jpg,0.05,0.0,0.0,0.0,0.0,0.0,,,
000011.jpg,0.05505714285714286,78.95,0.0,0.09687142857142828,0.0032290476190476093,2.631666666666667,,,
000012.jpg,0.06011428571428572,86.89285714285751,0.0,0.20231428571428456,0.006743809523809485,2.896428571428584,,,
000013.jpg,0.06517142857142857,148.45,0.0,0.28860285714285716,0.009620095238095238,4.948333333333333,,,
000014.jpg,0.07022857142857143,148.45,0.0,0.3696485714285709,0.01232161904761903,4.948333333333333,,,
000015.jpg,0.07528571428571429,237.45,0.0,0.4689714285714288,0.01563238095238096,7.915,,,
000016.jpg,0.08034285714285715,237.45,0.0,0.5786428571428575,0.01928809523809525,7.915,,,
000017.jpg,0.0854,331.95,0.0,0.667720000000001,0.022257333333333365,11.065,,,
000018.jpg,0.09045714285714286,331.95,0.0,0.7515257142857132,0.025050857142857107,11.065,,,
000019.jpg,0.09551428571428572,425.95,0.0,0.8562714285714286,0.02854238095238095,14.198333333333332,,,
000020.jpg,0.10057142857142858,425.95,0.0,0.9632999999999994,0.03210999999999998,14.198333333333332,,,
000021.jpg,0.10562857142857143,519.95,0.0,1.057962857142856,0.03526542857142854,17.331666666666667,,,
000022.jpg,0.11068571428571428,519.95,0.0,1.1539714285714275,0.03846571428571425,17.331666666666667,,,
000023.jpg,0.11574285714285715,584.2071428571428,0.0,1.260814285714284,0.042027142857142805,19.473571428571425,,,
000024.jpg,0.12080000000000002,606.45,0.0,1.3679799999999984,0.04559933333333328,20.215,,,
000025.jpg,0.12585714285714286,606.45,0.0,1.4762857142857149,0.04920952380952383,20.215,,,
000026.jpg,0.1309142857142857,690.95,0.0,1.576257142857144,0.0525419047619048,23.03166666666667,,,
000027.jpg,0.13597142857142858,690.95,0.0,1.6848599999999978,0.05616199999999993,23.03166666666667,,,
000028.jpg,0.14102857142857145,768.95,0.0,1.7937514285714267,0.05979171428571422,25.631666666666668,,,
000029.jpg,0.1460857142857143,768.95,0.0,1.9015771428571435,0.06338590476190478,25.631666666666668,,,
000030.jpg,0.15114285714285713,842.45,0.0,2.005971428571427,0.06686571428571424,28.081666666666667,,,
000031.jpg,0.1562,842.45,0.0,2.117959999999999,0.07059866666666664,28.081666666666667,,,
000032.jpg,0.16125714285714288,909.45,0.0,2.2321028571428583,0.0744034285714286,30.315,,,
000033.jpg,0.16631428571428575,909.45,0.0,2.704202857142861,0.09014009523809537,30.315,,,
000034.jpg,0.17137142857142856,928.95,0.0,3.425699999999998,0.11418999999999994,30.965,,,
000035.jpg,0.17642857142857143,928.95,0.0,3.425699999999998,0.11418999999999994,30.965,,,
000036.jpg,0.1814857142857143,882.8071428571404,0.0,3.425699999999998,0.11418999999999994,29.42690476190468,,,
000037.jpg,0.18654285714285718,833.95,0.0,3.425699999999998,0.11418999999999994,27.798333333333336,,,
000038.jpg,0.19160000000000005,833.95,0.0,3.5466400000000045,0.11822133333333348,27.798333333333336,,,
000039.jpg,0.19665714285714286,648.95,0.0,3.6458685714285712,0.12152895238095238,21.631666666666668,,,
000040.jpg,0.20171428571428573,648.95,0.0,3.6458685714285712,0.12152895238095238,21.631666666666668,,,
000041.jpg,0.2067714285714286,416.95,0.0,3.6458685714285712,0.12152895238095238,13.898333333333333,,,
000042.jpg,0.21182857142857142,416.95,0.0,3.78352857142857,0.126117619047619,13.898333333333333,,,
000043.jpg,0.2168857142857143,195.95,0.0,3.9742685714285715,0.13247561904761904,6.531666666666666,,,
000044.jpg,0.22194285714285716,195.95,0.0,3.9742685714285715,0.13247561904761904,6.531666666666666,,,
000045.jpg,0.22699999999999998,51.45,0.0,3.9742685714285715,0.13247561904761904,1.715,,,
