照片,时间/s,X向力/N,Y向力/N,X向位移/mm,X向应变,X向应力/MPa,Y向位移/mm,Y向应变,Y向应力/MPa
000002.jpg,0.169,0.0,0.0,0.0,0.0,0.0,,,
000003.jpg,0.270408,20.6,0.0,0.023499999999998522,0.000783333333333284,0.6866666666666668,,,
000004.jpg,0.37181600000000004,31.1,0.0,0.041100000000000136,0.0013700000000000045,1.0366666666666666,,,
000005.jpg,0.473224,41.824000000000005,0.0,0.06259999999999977,0.002086666666666659,1.3941333333333334,,,
000006.jpg,0.574632,53.6,0.0,0.08309999999999818,0.002769999999999939,1.7866666666666666,,,
000007.jpg,0.6760400000000001,64.1,0.0,0.10169999999999746,0.003389999999999915,2.1366666666666663,,,
000008.jpg,0.777448,75.1,0.0,0.12310000000000088,0.0041033333333333625,2.503333333333333,,,
000009.jpg,0.878856,85.6,0.0,0.14355600000000024,0.004785200000000008,2.853333333333333,,,
000010.jpg,0.980264,95.6,0.0,0.16509999999999891,0.005503333333333297,3.1866666666666665,,,
000011.jpg,1.0816720000000002,106.1,0.0,0.18269999999999698,0.006089999999999899,3.5366666666666666,,,
000012.jpg,1.1830800000000001,116.6,0.0,0.20327999999999946,0.006775999999999982,3.8866666666666663,,,
000013.jpg,1.284488,127.1,0.0,0.22669999999999746,0.007556666666666582,4.236666666666666,,,
000014.jpg,1.385896,137.1,0.0,0.24429999999999907,0.008143333333333303,4.569999999999999,,,
000015.jpg,1.4873040000000002,149.1,0.0,0.2646999999999977,0.008823333333333258,4.97,,,
000016.jpg,1.588712,159.1,0.0,0.2852999999999959,0.009509999999999862,5.303333333333333,,,
000017.jpg,1.69012,169.1,0.0,0.30757999999999797,0.0102526666666666,5.636666666666667,,,
000018.jpg,1.791528,178.6,0.0,0.3258279999999978,0.01086093333333326,5.953333333333333,,,
000019.jpg,1.8929360000000002,190.50400000000025,0.0,0.3468000000000018,0.01156000000000006,6.350133333333342,,,
000020.jpg,1.9943440000000003,201.6,0.0,0.3669559999999983,0.01223186666666661,6.72,,,
000021.jpg,2.095752,211.1,0.0,0.38922879999999793,0.012974293333333265,7.036666666666666,,,
000022.jpg,2.1971600000000002,221.6,0.0,0.40729999999999933,0.013576666666666645,7.386666666666667,,,
000023.jpg,2.2985680000000004,231.6,0.0,0.42689999999999984,0.014229999999999994,7.72,,,
000024.jpg,2.399976,242.1,0.0,0.4482783999999995,0.014942613333333318,8.07,,,
000025.jpg,2.501384,252.1,0.0,0.4684543999999988,0.015615146666666628,8.403333333333332,,,
000026.jpg,2.602792,261.6,0.0,0.4873999999999974,0.01624666666666658,8.72,,,
000027.jpg,2.7042,272.1,0.0,0.509999999999998,0.016999999999999935,9.07,,,
000028.jpg,2.8056080000000003,283.3160000000005,0.0,0.5299471999999987,0.017664906666666626,9.443866666666683,,,
