照片,时间/s,X向力/N,Y向力/N,X向位移/mm,X向应变,X向应力/MPa,Y向位移/mm,Y向应变,Y向应力/MPa
000008.jpg,0.051,0.0,0.0,,,,0.0,0.0,0.0
000016.jpg,0.13150526315789474,0.0,78.37,,,,0.14656000000000002,0.004885333333333334,2.6123333333333334
000024.jpg,0.21201052631578948,0.0,157.37,,,,0.29791052631578996,0.009930350877192998,5.245666666666667
000032.jpg,0.29251578947368423,0.0,245.30157894736885,,,,0.4546957894736847,0.01515652631578949,8.176719298245628
000040.jpg,0.373021052631579,0.0,332.87,,,,0.6133631578947378,0.020445438596491262,11.095666666666666
000048.jpg,0.45352631578947367,0.0,415.37,,,,0.7735526315789469,0.02578508771929823,13.845666666666666
000056.jpg,0.5340315789473684,0.0,497.7173684210522,,,,0.9346315789473678,0.03115438596491226,16.590578947368407
000064.jpg,0.6145368421052633,0.0,588.37,,,,1.0982368421052628,0.036607894736842096,19.612333333333332
000072.jpg,0.695042105263158,0.0,667.37,,,,1.2618800000000006,0.042062666666666686,22.24566666666667
000080.jpg,0.7755473684210527,0.0,741.37,,,,1.420587368421053,0.04735291228070177,24.712333333333333
000088.jpg,0.8560526315789474,0.0,824.37,,,,1.5880999999999998,0.05293666666666666,27.479
000096.jpg,0.9365578947368421,0.0,892.87,,,,1.7491157894736844,0.05830385964912281,29.762333333333334
000104.jpg,1.017063157894737,0.0,960.37,,,,1.9131,0.06377000000000001,32.01233333333333
000112.jpg,1.0975684210526315,0.0,1034.37,,,,2.073436842105263,0.06911456140350876,34.479
000120.jpg,1.1780736842105264,0.0,1095.37,,,,2.2384663157894735,0.07461554385964912,36.51233333333333
000128.jpg,1.2585789473684208,0.0,1153.87,,,,2.401121052631578,0.08003736842105261,38.462333333333326
000136.jpg,1.3390842105263159,0.0,1214.37,,,,2.5617600000000005,0.08539200000000001,40.479
000144.jpg,1.4195894736842107,0.0,1262.37,,,,2.728720000000001,0.09095733333333336,42.07899999999999
000152.jpg,1.5000947368421051,0.0,1304.87,,,,2.899684210526317,0.09665614035087723,43.495666666666665
000160.jpg,1.5806,0.0,1345.87,,,,3.05884,0.10196133333333333,44.86233333333333
000168.jpg,1.6611052631578946,0.0,1375.87,,,,3.2277105263157893,0.10759035087719297,45.86233333333333
000176.jpg,1.7416105263157893,0.0,1398.37,,,,3.3937599999999994,0.11312533333333331,46.61233333333333
000184.jpg,1.8221157894736841,0.0,1417.87,,,,3.5590631578947374,0.11863543859649124,47.26233333333333
000192.jpg,1.902621052631579,0.0,1428.37,,,,3.726842105263157,0.12422807017543856,47.61233333333333
000200.jpg,1.9831263157894736,0.0,1434.87,,,,3.887039999999999,0.12956799999999996,47.82899999999999
000208.jpg,2.0636315789473683,0.0,1438.37,,,,4.056331578947368,0.13521105263157895,47.94566666666666
000216.jpg,2.1441368421052633,0.0,1437.87,,,,4.219196842105264,0.14063989473684213,47.928999999999995
000224.jpg,2.2246421052631584,0.0,1436.87,,,,4.385084210526317,0.14616947368421057,47.89566666666666
000232.jpg,2.305147368421053,0.0,1433.87,,,,4.540527368421053,0.15135091228070177,47.79566666666666
000240.jpg,2.3856526315789477,0.0,1432.37,,,,4.702787368421053,0.15675957894736842,47.745666666666665
000248.jpg,2.466157894736842,0.0,1430.87,,,,4.862615789473683,0.16208719298245608,47.69566666666666
000256.jpg,2.546663157894737,0.0,1429.87,,,,5.028963157894738,0.16763210526315794,47.66233333333333
000264.jpg,2.627168421052632,0.0,1428.87,,,,5.186920000000002,0.1728973333333334,47.629
000272.jpg,2.7076736842105267,0.0,1428.37,,,,5.349373684210526,0.17831245614035088,47.61233333333333
000280.jpg,2.7881789473684218,0.0,1427.37,,,,5.513218947368422,0.18377396491228074,47.57899999999999
000288.jpg,2.8686842105263155,0.0,1425.87,,,,5.6732,0.18910666666666665,47.528999999999996
000296.jpg,2.9491894736842106,0.0,1424.37,,,,5.831649473684211,0.1943883157894737,47.479
000304.jpg,3.029694736842105,0.0,1423.37,,,,5.994589473684211,0.19981964912280706,47.44566666666666
