照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000003.jpg,0.050000,0.00000000,0.00000000,0.00000000
000004.jpg,0.070300,11.20270435,10.68413432,10.95263041
000005.jpg,0.090500,16.04279094,15.54140818,15.79806783
000006.jpg,0.110800,25.93257416,24.91968311,25.44125545
000007.jpg,0.131100,35.89857922,34.29795803,35.12563098
000008.jpg,0.151400,45.23575414,43.24655104,44.27467989
000009.jpg,0.171600,53.73448886,51.54128025,52.67214172
000010.jpg,0.191900,61.26139516,58.65905465,60.00256414
000011.jpg,0.212200,64.73468566,61.96064218,63.39320162
000012.jpg,0.232500,62.29038995,59.38764573,60.89093146
000013.jpg,0.252700,35.97480106,33.23309415,34.68531256
000014.jpg,0.273000,7.27727980,5.95763321,6.71541740
