nu,E_MPa,rmse_N,max_abs_residual_N,relative_rmse,observation_count
-0.99,182.5232566286202,359.18291770075444,664.693830828471,0.5875530290204057,82
-0.989,220.94103143984762,358.5106547880404,671.5647218057021,0.5864533383302368,82
-0.988,262.8141351372576,357.77488550084934,678.1288032689461,0.5852497636276407,82
-0.987,308.06552514109444,356.9764866773545,684.3811135649148,0.5839437392484369,82
-0.986,356.61156430037903,356.1164305664498,690.3174262778109,0.5825368556017303,82
-0.985,408.3624174494829,355.1957808210065,695.9342553336826,0.581030852615662,82
-0.984,463.22247461130434,354.21568814113084,701.2288559881064,0.5794276126106308,82
-0.983,521.0907970542784,353.17738560283675,706.1992217800191,0.5777291526579152,82
-0.982,581.8615822805763,352.0821837094473,710.8440775729234,0.5759376164847335,82
-0.981,645.4246439475727,350.93146520445646,715.1628688403348,0.5740552659890997,82
-0.98,711.6659027031283,349.7266796855136,719.1557473847538,0.5720844724293555,82
-0.979,780.4678839456693,348.4693380596376,722.8235537082502,0.5700277073539841,82
-0.978,851.710218599886,347.16100687975063,726.1677962776257,0.5678875333372875,82
-0.977,925.2701431242027,345.80330260214924,729.1906279478812,0.5656665945857312,82
-0.976,1001.0229951333852,344.3978858036423,731.8948198242164,0.5633676074783129,82
-0.975,1078.8427012233499,342.94645539580733,734.2837328550202,0.560993351102217,82
-0.974,1158.6022538206532,341.45074287219256,736.3612874562949,0.5585466578423617,82
-0.973,1240.1741741407677,339.9125066223557,738.1319314718392,0.5560304040802782,82
-0.972,1323.43095862127,338.3335263444375,739.6006067734877,0.5534475010541736,82
-0.971,1408.2455064933108,336.71559758555276,740.7727148019942,0.5508008859280782,82
-0.97,1494.4915264613362,335.0605264366976,741.6540813421032,0.5480935131137499,82
-0.969,1582.0439207721754,333.3701244061635,742.2509208152454,0.5453283458845833,82
-0.968,1670.7791452650504,331.646203492658,742.56980036058,0.5425083483161977,82
-0.967,1760.5755442996526,329.89057147650675,742.6176039600568,0.5396364775837642,82
-0.966,1851.3136597558907,328.1050274444799,742.4014968463136,0.5367156766414969,82
-0.965,1942.876513582892,326.29135756100544,741.9288904138084,0.5337488673051846,82
-0.964,2035.1498636432948,324.45133109580473,741.20740783411,0.530738943754179,82
-0.963,2128.022432849311,322.5866967153746,740.2448505560494,0.527688766464985,82
-0.962,2221.3861118177324,320.69917904323773,739.0491658507825,0.5246011565845019,82
-0.961,2315.1361354802575,318.79047549153665,737.6284155411471,0.5214788907471318,82
-0.96,2409.1712342727665,316.8622533643516,735.9907460341705,0.518324696336373,82
-0.959,2503.3937606916907,314.91614723110655,734.1443597555902,0.5151412471882263,82
-0.958,2597.7097921474056,312.9537565665879,732.097488065895,0.5119311597307268,82
-0.957,2692.029211164211,310.9766436524511,729.8583657189322,0.5086969895512188,82
-0.956,2786.2657640742486,308.98633173362686,727.4352069067152,0.5054412283805975,82
-0.955,2880.337099429813,306.98430342176226,724.836182917754,0.50216630148165,82
-0.954,2974.164787415961,304.97199933674113,722.0694014212187,0.49887456542684866,82
-0.953,3067.6743215845463,302.95081697641285,719.1428873754737,0.4955683062494485,82
-0.952,3160.7951042530467,300.92210980391496,716.0645655471355,0.492249737950525,82
-0.951,3253.460416918517,298.88718654139194,712.8422446157244,0.4889210013436366,82
-0.95,3345.607377030235,296.84731065848126,709.4836028292398,0.4855841632180875,82
-0.949,3437.1768824455826,294.8037000436447,705.9961751675794,0.48224121580129015,82
-0.948,3528.113544864098,292.7575268462602,702.3873419635148,0.4788940765004583,82
-0.947,3618.3656134960897,290.70991747734166,698.6643189249913,0.4755445879037847,82
-0.946,3707.884890175744,288.6619527568113,694.8341484976506,0.4721945180213493,82
-0.945,3796.6266370764492,286.6146681953975,690.9036925027245,0.46884556074624983,82
-0.944,3884.5494781283946,284.56905439946286,686.8796259826072,0.4654993365168207,82
-0.943,3971.6152951777444,282.52605758736394,682.768432184549,0.4621573931612967,82
-0.942,4057.7891198628063,280.486580206305,678.5763986117909,0.45882120690686545,82
-0.941,4143.039022117468,278.4514816390537,674.3096140711026,0.4554921835357157,82
-0.94,4227.335996146181,276.4215789903318,669.9739666459842,0.45217165967141887,82
-0.939,4310.65384464893,274.3976479431724,665.5751425256069,0.44886090417976243,82
-0.938,4392.969062009327,272.3804236760329,661.118625620939,0.4455611196689669,82
-0.9369999999999999,4474.260717095335,270.3706018319685,656.6096979012179,0.4422734440750646,82
-0.9359999999999999,4554.510336259957,268.36883953169206,652.0534403860582,0.438998952319067,82
-0.9349999999999999,4633.701787069434,266.3757564228767,647.4547347308487,0.43573865802341927,82
-0.9339999999999999,4711.821163229271,264.3919357585768,642.8182653456943,0.43249351527608576,82
-0.9329999999999999,4788.856671123761,262.41792549816523,638.1485219909641,0.42926442043146834,82
-0.9319999999999999,4864.798518333217,260.4542394246912,633.4498027953704,0.4260522139381849,82
-0.9309999999999999,4939.6388044445475,258.5013582730574,628.7262176455309,0.42285768218454717,82
-0.9299999999999999,5013.371414425417,256.55973086389605,623.9816918989538,0.41968155935336,82
-0.929,5085.991914790076,254.6297752384818,619.2199703754569,0.4165245292784169,82
-0.9279999999999999,5157.497452745905,252.71187979046374,614.4446215850268,0.41338722729579225,82
-0.927,5227.886658473589,250.8064043906202,609.6590421531158,0.41027024208372076,82
-0.9259999999999999,5297.159550661316,248.91368150123245,604.866461407267,0.40717411748549437,82
-0.925,5365.31744538273,247.03401727706418,600.0699460918145,0.4040993543104498,82
-0.9239999999999999,5432.362868382096,245.167692650269,595.2724051801038,0.4010464121086648,82
-0.923,5498.29947080467,243.31496439690372,590.4765947563438,0.3980157109155658,82
-0.9219999999999999,5563.131948389318,241.47606618300887,585.685122941672,0.3950076329631107,82
-0.921,5626.865964120016,239.65120958853421,580.9004548414467,0.39202252435473106,82
-0.9199999999999999,5689.508074316487,237.84058510762475,576.1249174930044,0.38906069670160426,82
-0.919,5751.065658128287,236.0443631240575,571.3607047952974,0.3861224287182776,82
-0.9179999999999999,5811.546850384297,234.2626948608181,566.6098824037924,0.3832079677759898,82
-0.917,5870.96047773741,232.49571330303894,561.8743925759496,0.38031753141241725,82
-0.916,5929.315998035452,230.7435340936852,557.1560589542755,0.3774513087968416,82
-0.915,5986.623442840335,229.0062564015696,552.4565912756759,0.37460946215005164,82
-0.914,6042.8933630115125,227.28396376141083,547.7775899972457,0.37179212811851536,82
-0.913,6098.136777263744,225.57672488580707,543.1205508301127,0.3689994191026092,82
-0.912,6152.365123605389,223.8845944491095,538.486869174172,0.36623142453888224,82
-0.911,6205.590213559703,222.20761384329944,533.8778444477814,0.3634882121365233,82
-0.91,6257.824189069735,220.54581190606748,529.294684307512,0.36076982906835614,82
-0.909,6309.079481985554,218.8992056213825,524.7385087540773,0.3580763031168332,82
-0.908,6359.368776032004,217.26780079291373,520.210354121421,0.3554076437756228,82
-0.907,6408.704971154916,215.65159269073553,515.7111769467554,0.35276384330749117,82
-0.906,6457.101150144227,214.0505666718015,511.24185772008605,0.35014487775927744,82
-0.905,6504.5705474333345,212.46469877472344,506.8032045123741,0.34755070793483517,82
-0.904,6551.126519975398,210.89395628943126,502.3959564821058,0.34498128032688485,82
-0.903,6596.782520099011,209.33829830232366,498.0207872605173,0.3424365280087739,82
-0.902,6641.552070247633,207.79767621754698,493.6783082162118,0.3399163714871867,82
-0.901,6685.448739509532,206.27203425506124,489.3690716002856,0.3374207195168835,82
-0.9,6728.486121847409,204.7613099261683,485.09357357342856,0.33494946987857144,82
-0.899,6770.677815939509,203.26543448718962,480.852257116791,0.33250251012103255,82
-0.898,6812.037406546862,201.78433337198712,476.64551482863214,0.3300797182686434,82
-0.897,6852.578447324102,200.31792660402604,472.47369160902815,0.3276809634954296,82
-0.896,6892.314444994341,198.8661291886777,468.3370872350628,0.3253061067667959,82
-0.895,6931.258844811465,197.42885148645783,464.23595882911377,0.32295500145007167,82
-0.894,6969.425017236252,196.00599956789205,460.17052322294956,0.32062749389500106,82
-0.893,7006.826245755852,194.59747555069004,456.14095922045084,0.3183234239852942,82
-0.892,7043.475715778885,193.20317791990428,452.14740976186704,0.3160426256623442,82
-0.891,7079.38650454165,191.8230018317343,448.18998399253763,0.3137849274221918,82
-0.89,7114.571571963734,190.45683940162826,444.2687592390808,0.3115501527868027,82
-0.889,7149.043752394089,189.10457997731734,440.38378289603384,0.309338120750699,82
-0.888,7182.815747191657,187.76611039740587,436.5350742259677,0.30714864620396165,82
-0.887,7215.900118087112,186.44131523612268,432.72262607605546,0.3049815403325961,82
-0.886,7248.3092812751875,185.1300770348246,428.9464065140818,0.30283661099722664,82
-0.885,7280.0555021893815,183.83227652082624,425.20636038683375,0.30071366309105907,82
-0.884,7311.150890913554,182.54779281411092,421.5024108037709,0.29861249887801955,82
-0.883,7341.607398187178,181.2765036224642,417.83446054884496,0.2965329183119548,82
-0.882,7371.436811963383,180.01828542555063,414.2023934232584,0.29447471933774555,82
-0.881,7400.650754481203,178.7730136484386,410.606075521924,0.29243769817515963,82
-0.88,7429.2606798154475,177.54056282506062,407.04535644629124,0.2904216495862406,82
-0.879,7457.277871869838,176.32080675207806,403.5200704561712,0.28842636712700065,82
-0.878,7484.71344278088,175.1136186336039,400.0300375631016,0.2864516433841587,82
-0.877,7511.578331701879,173.9188712172184,396.5750645677223,0.28449727019763527,82
-0.876,7537.883303938291,172.73643692169685,393.15494604357866,0.28256303886949036,82
-0.875,7563.63895040731,171.5661879568519,389.7694652696663,0.28064874035996185,82
-0.874,7588.855687396214,170.4079964358775,386.41839511398774,0.27875416547123844,82
-0.873,7613.543756595515,169.26173448056468,383.10149887028547,0.27687910501957186,82
-0.872,7637.713225384487,168.12727431974486,379.81853105007025,0.275023349996311,82
-0.871,7661.373987348021,167.00448838130197,376.56923813196977,0.2731866917184158,82
-0.87,7684.53576300502,165.89324937807885,373.3533592703503,0.27136892196898327,82
-0.869,7707.208100729867,164.79343038799033,370.170626965111,0.26956983312829663,82
-0.868,7729.400377849712,163.7049049286419,367.0207676944451,0.2677892182958874,82
-0.867,7751.121801901332,162.62754702673885,363.90350251233235,0.26602687140407455,82
-0.866,7772.381412032537,161.56123128255894,360.81854761241715,0.2642825873234295,82
-0.865,7793.188080533929,160.5058329297485,357.7656148598993,0.262556161960591,82
-0.864,7813.5505144879335,159.46122789069094,354.74441229296235,0.2608473923488368,82
-0.863,7833.477257522746,158.4272928276844,351.7546445952314,0.2591560767318007,82
-0.862,7852.976691659899,157.4039051901547,348.796013540672,0.2574820146407032,82
-0.861,7872.05703924467,156.39094325811874,345.8682184122798,0.25582500696544974,82
-0.86,7890.726364949563,155.38828618210474,342.97095639587485,0.25418485601993185,82
-0.859,7908.9925778416045,154.39581401972285,340.10392295022325,0.25256136560184983,82
-0.858,7926.863433505001,153.4134077690746,337.266812154692,0.2509543410473641,82
-0.857,7944.346536211163,152.4409493991764,334.4593170355539,0.2493635892808617,82
-0.856,7961.449341128907,151.478321877567,331.6811298720403,0.24778891886011742,82
-0.855,7978.179156567913,150.52540919525836,328.93194248317013,0.24623014001710783,82
-0.854,7994.543146249322,149.58209638918265,326.2114464963382,0.24468706469473048,82
-0.853,8010.548331597597,148.64826956228023,323.5193335986178,0.24315950657966404,82
-0.852,8026.201594048354,147.7238159013661,320.8552957716594,0.24164728113159406,82
-0.851,8041.509677367296,146.80862369290574,318.21902551105933,0.24015020560901937,82
-0.85,8056.479189975653,145.90258233682414,315.61021603099744,0.2386680990918408,82
-0.849,8071.116607278094,145.00558235846597,313.0285614549388,0.2372007825009258,82
-0.848,8085.428273989232,144.11751541881884,310.47375699312437,0.23574807861483155,82
-0.847,8099.420406455303,143.23827432310517,307.9454991075669,0.2343098120838598,82
-0.846,8113.099094967816,142.36775302784451,305.4434856652213,0.23288580944160914,82
-0.845,8126.470306066306,141.50584664647957,302.96741607996074,0.23147589911417843,82
-0.844,8139.539884827561,140.65245145365856,300.5169914439805,0.2300799114271716,82
-0.843,8152.313557138947,139.80746488825807,298.0919146491905,0.22869767861064264,82
-0.842,8164.796931953656,138.97078555522813,295.69189049916423,0.22732903480211367,82
-0.841,8176.995503525937,138.14231322633654,293.31662581214977,0.22597381604779254,82
-0.84,8188.914653624632,137.32194883988427,290.9658295156515,0.22463186030210733,82
-0.839,8200.559653723332,136.50959449946237,288.6392127330511,0.22330300742567288,82
-0.838,8211.93566716589,135.705153471814,286.3364888627105,0.22198709918179346,82
-0.837,8223.047751305983,134.90853018386397,284.05737364999254,0.22068397923160368,82
-0.836,8233.900859619647,134.11963021897458,281.80158525259316,0.21939349312794373,82
-0.835,8244.499843789868,133.33836031248143,279.56884429957967,0.21811548830805702,82
-0.834,8254.849455762364,132.5646283465629,277.3588739444876,0.21684981408519743,82
-0.833,8264.954349771897,131.79834334449166,275.1713999128319,0.215596321639226,82
-0.832,8274.819084338478,131.03941546431454,273.0061505443568,0.21435486400627254,82
-0.831,8284.448124232962,130.28775599200569,270.86285683033043,0.2131252960675353,82
-0.83,8293.845842411698,129.54327733413282,268.7412524461898,0.2119074745372846,82
-0.829,8303.016521919784,128.80589301007743,266.6410737798037,0.21070125795013644,82
-0.828,8311.964357762814,128.07551764384493,264.56205995563124,0.20950650664765577,82
-0.827,8320.693458746868,127.35206695549891,262.50395285501344,0.20832308276434422,82
-0.826,8329.207849286633,126.63545775225421,260.46649713285143,0.20715085021307042,82
-0.825,8337.511471181657,125.92560791925739,258.4494402308814,0.20598967466998852,82
-0.824,8345.60818536071,125.22243641008563,256.4525323877722,0.20483942355899631,82
-0.823,8353.501773594298,124.52586323699029,254.47552664624305,0.2036999660357755,82
-0.822,8361.195940175478,123.83580946091135,252.5181788573894,0.2025711729714574,82
-0.821,8368.694313569078,123.15219718128704,250.58024768240688,0.20145291693595338,82
-0.82,8376.000448029516,122.47494952568128,248.66149459187568,0.2003450721809875,82
-0.819,8383.117825187472,121.80399063925067,246.7616838627767,0.19924751462286636,82
-0.818,8390.049855605599,121.13924567407044,244.88058257338378,0.1981601218250187,82
-0.817,8396.799880303604,120.48064077833953,243.01796059618567,0.19708277298033686,82
-0.816,8403.371172252966,119.82810308548116,241.1735905889721,0.19601534889334743,82
-0.815,8409.766937841647,119.18156070315639,239.34724798420882,0.19495773196223973,82
-0.8140000000000001,8415.990318309117,118.54094270220628,237.5387109768355,0.19390980616077713,82
-0.813,8422.044391152058,117.90617910553622,235.74776051058763,0.1928714570201142,82
-0.812,8427.932171501127,117.27720087695826,233.97418026297095,0.1918425716105448,82
-0.8109999999999999,8433.656613469184,116.65393991000093,232.21775662896823,0.1908230385231972,82
-0.81,8439.220611471364,116.03632901670238,230.47827870360248,0.18981274785170185,82
-0.8089999999999999,8444.627001517423,115.42430191639414,228.7555382634219,0.1888115911738437,82
-0.808,8449.878562476759,114.81779322448952,227.04932974701813,0.18781946153322238,82
-0.8069999999999999,8454.978017316576,114.21673844128281,225.35945023464183,0.1868362534209298,82
-0.806,8459.928034313569,113.62107394077186,223.68569942700185,0.18586186275726602,82
-0.8049999999999999,8464.731228239632,113.03073695950884,222.02787962331843,0.18489618687350134,82
