实验编号,照片,DAT,status,version,conversion_mm_per_pixel,point_count,point_count_reference,point_count_fraction,record_counts,error
S16_XY_0.2,000035.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000035.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
S16_XY_0.2,000036.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000036.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
S16_XY_0.2,000037.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000037.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
S16_XY_0.2,000038.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000038.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
S16_XY_0.2,000039.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000039.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
S16_XY_0.2,000040.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000040.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
S16_XY_0.2,000041.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000041.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
S16_XY_0.2,000042.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000042.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
S16_XY_0.2,000043.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000043.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
S16_XY_0.2,000044.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000044.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
S16_XY_0.2,000045.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\biaxal\S16_XY_0.2\000045.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.087209,10098,10098,,"{'18': 10098, '53': 10098}",
