实验编号,照片,DAT,status,version,conversion_mm_per_pixel,point_count,point_count_reference,point_count_fraction,record_counts,error
S20_X_2,000033.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000033.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000034.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000034.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000035.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000035.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000036.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000036.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000037.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000037.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000038.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000038.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7931,7934,,"{'18': 7931, '53': 7931}",
S20_X_2,000039.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000039.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000040.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000040.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000041.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000041.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7931,7934,,"{'18': 7931, '53': 7931}",
S20_X_2,000042.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000042.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000043.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000043.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7932,7934,,"{'18': 7932, '53': 7932}",
S20_X_2,000044.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000044.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000045.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000045.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000046.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000046.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7933,7934,,"{'18': 7933, '53': 7933}",
S20_X_2,000047.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000047.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7933,7934,,"{'18': 7933, '53': 7933}",
S20_X_2,000048.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000048.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7935,7934,,"{'18': 7935, '53': 7935}",
S20_X_2,000049.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000049.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7930,7934,,"{'18': 7930, '53': 7930}",
S20_X_2,000050.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000050.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7934,7934,,"{'18': 7934, '53': 7934}",
S20_X_2,000051.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000051.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7928,7934,,"{'18': 7928, '53': 7928}",
S20_X_2,000052.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000052.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7930,7934,,"{'18': 7930, '53': 7930}",
S20_X_2,000053.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000053.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7930,7934,,"{'18': 7930, '53': 7930}",
S20_X_2,000054.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000054.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7932,7934,,"{'18': 7932, '53': 7932}",
S20_X_2,000055.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S20_X_2\000055.jpg.dat,DIC_FIELDS_AVAILABLE,19.2.0.0,0.084034,7927,7934,,"{'18': 7927, '53': 7927}",
