照片,DAT,时间/s,X向力/N,Y向力/N,JPG原始路径,DAT原始路径
000160.jpg,000160.jpg.dat,1.5806,0.000000,1345.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000160.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000160.jpg.dat
000168.jpg,000168.jpg.dat,1.6611,0.000000,1375.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000168.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000168.jpg.dat
000176.jpg,000176.jpg.dat,1.7416,0.000000,1398.370000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000176.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000176.jpg.dat
000184.jpg,000184.jpg.dat,1.8221,0.000000,1417.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000184.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000184.jpg.dat
000192.jpg,000192.jpg.dat,1.9026,0.000000,1428.370000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000192.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000192.jpg.dat
000200.jpg,000200.jpg.dat,1.9831,0.000000,1434.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000200.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000200.jpg.dat
000208.jpg,000208.jpg.dat,2.0636,0.000000,1438.370000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000208.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000208.jpg.dat
000216.jpg,000216.jpg.dat,2.1441,0.000000,1437.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000216.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000216.jpg.dat
000224.jpg,000224.jpg.dat,2.2246,0.000000,1436.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000224.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000224.jpg.dat
000232.jpg,000232.jpg.dat,2.3051,0.000000,1433.870000,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000232.jpg,D:\C盘迁移\Desktop\yuan\data\XY\picture-20250529\vertical_all_45°\PAPER\unixal\S23_Y_2\000232.jpg.dat
