照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000001.jpg,0.102000,0.00000000,0.00000000,0.00000000
000002.jpg,0.202500,0.71062800,0.65487883,0.68445833
000003.jpg,0.303000,1.27971384,1.24557098,1.26298858
000004.jpg,0.403500,1.86775006,1.76515612,1.81862475
000005.jpg,0.504100,2.45578629,2.33849144,2.39929017
000006.jpg,0.604600,3.00707025,2.84015985,2.92718624
000007.jpg,0.705100,3.57673035,3.37766171,3.48146714
000008.jpg,0.805600,4.12801431,3.95099703,4.04241356
000009.jpg,0.906100,4.72064457,4.49521767,4.61206485
000010.jpg,1.006600,5.32246290,5.07975094,5.20535253
000011.jpg,1.107200,5.85537073,5.61725281,5.74001723
000012.jpg,1.207700,6.38827856,6.17267140,6.28325002
000013.jpg,1.308200,6.95793865,6.67433980,6.82056267
000014.jpg,1.408700,7.50922261,7.19392494,7.35664302
000015.jpg,1.509200,8.06050658,7.73142680,7.90110815
000016.jpg,1.609700,8.59341441,8.25101194,8.42743165
000017.jpg,1.710300,9.23657903,8.89601417,9.07109268
000018.jpg,1.810800,9.76948686,9.37976585,9.58057314
000019.jpg,1.911300,10.32077082,9.88143426,10.10826568
000020.jpg,2.011800,10.85367865,10.38310266,10.62620824
000021.jpg,2.112300,11.38658648,10.92060452,11.16089365
000022.jpg,2.212800,11.91949431,11.40435620,11.67045527
000023.jpg,2.313300,12.45240214,11.92394134,12.19676119
000024.jpg,2.413900,13.02751763,12.50511523,12.77433025
000025.jpg,2.514400,13.57334620,12.98102833,13.28709269
000026.jpg,2.614900,14.14300629,13.50061347,13.83300147
000027.jpg,2.715400,14.65753799,14.00228187,14.34114149
000028.jpg,2.815900,15.17206969,14.48603355,14.84094863
000029.jpg,2.916400,15.68660139,14.98770196,15.34909010
000030.jpg,3.017000,16.20113309,15.48937036,15.85723673
000031.jpg,3.117500,16.75126854,15.99831744,16.38777126
000032.jpg,3.218000,17.30370101,16.52854063,16.92943587
000033.jpg,3.318500,17.81823271,17.03020904,17.43758037
000034.jpg,3.419000,18.33276441,17.49604399,17.92905334
000035.jpg,3.519500,18.86567224,17.97979566,18.43870140
000036.jpg,3.620000,19.39858007,18.46354734,18.94837427
000037.jpg,3.720600,19.87635950,18.96521575,19.43681119
000038.jpg,3.821100,20.39376247,19.45316664,19.94010984
000039.jpg,3.921600,20.94217516,19.96855256,20.47273471
000040.jpg,4.022100,21.43833073,20.43438751,20.95440430
000041.jpg,4.122600,21.95286243,20.91813918,21.45422299
000042.jpg,4.223100,22.46739413,21.38397413,21.94575070
000043.jpg,4.323700,22.98192582,21.88564254,22.45386493
000044.jpg,4.424200,23.49645752,22.35147749,22.94540304
000045.jpg,4.524700,23.99261309,22.83522916,23.43536549
000046.jpg,4.625200,24.52552092,23.33689757,23.95333787
000047.jpg,4.725700,25.02167649,23.80273252,24.43501784
000048.jpg,4.826200,25.51783205,24.26856746,24.91669903
000049.jpg,4.926700,25.99561149,24.73440241,25.38851244
000050.jpg,5.027300,26.47339092,25.21815409,25.86862329
000051.jpg,5.127800,26.95117035,25.64815558,26.32386100
000052.jpg,5.228300,27.46570205,26.09607380,26.80714213
000053.jpg,5.328800,27.98827331,26.62685689,27.33300574
000054.jpg,5.429300,28.51314158,27.09941061,27.83321697
000055.jpg,5.529800,28.95416875,27.52941210,28.26873140
000056.jpg,5.630400,29.45032432,27.97733032,28.74214959
000057.jpg,5.730900,29.89135149,28.44316527,29.19420994
000058.jpg,5.831400,30.35075479,28.90900022,29.65617361
000059.jpg,5.931900,30.82853422,29.33900171,30.11141188
000060.jpg,6.032400,31.32957093,29.80959577,30.59791120
000061.jpg,6.132900,31.80246922,30.27067160,31.06490795
000062.jpg,6.233500,32.26187252,30.70067310,31.51029269
000063.jpg,6.334000,32.72127583,31.18442477,31.98055778
000064.jpg,6.434500,33.18067913,31.57859281,32.40934797
000065.jpg,6.535000,33.62170630,32.02651103,32.85316721
000066.jpg,6.635500,34.06273347,32.45651252,33.28869900
000067.jpg,6.736000,34.50490915,32.90555053,33.73367723
000068.jpg,6.836500,34.96316394,33.37026568,34.19455212
000069.jpg,6.937100,35.40419111,33.78235045,34.62177290
000070.jpg,7.037600,35.84521828,34.21235194,35.05731700
000071.jpg,7.138100,36.26786932,34.60651997,35.46639008
000072.jpg,7.238600,36.72727262,35.03652146,35.91176012
000073.jpg,7.339100,37.14992366,35.43068949,36.32083666
000074.jpg,7.439600,37.53582243,35.89652444,36.74360986
000075.jpg,7.540200,37.95847347,36.32652593,37.16937884
000076.jpg,7.640700,38.39950064,36.75652742,37.60494195
000077.jpg,7.741200,38.80377555,37.13277873,37.99584506
000078.jpg,7.841700,39.20805045,37.52694676,38.39511078
000079.jpg,7.942200,39.59394922,37.92111479,38.78459834
000080.jpg,8.042700,40.01660026,38.33319956,39.20201731
000081.jpg,8.143300,40.40249904,38.70945086,39.58313989
000082.jpg,8.243800,40.83060547,39.12685463,40.00594870
000083.jpg,8.344300,41.24780111,39.55153711,40.42636823
000084.jpg,8.444800,41.63369989,39.92778842,40.80749556
000085.jpg,8.545300,42.01959866,40.28612299,41.18023382
000086.jpg,8.645800,42.40549743,40.68029103,41.56975239
000087.jpg,8.746300,42.82814847,41.07445906,41.97878580
000088.jpg,8.846900,43.19567111,41.43279363,42.34176501
000089.jpg,8.947400,43.62751022,41.81128453,42.74834405
000090.jpg,9.047900,44.02259706,42.20321297,43.14168747
000091.jpg,9.148400,44.39011970,42.56154755,43.50466488
000092.jpg,9.248900,44.75764234,42.93779885,43.87603531
000093.jpg,9.349400,45.14354111,43.26029997,44.23199891
000094.jpg,9.450000,45.49268762,43.60071782,44.57682565
000095.jpg,9.550500,45.84183413,43.94113566,44.92165299
000096.jpg,9.651000,46.20935677,44.28155351,45.27624686
000097.jpg,9.751500,46.61363168,44.65780481,45.66714053
000098.jpg,9.852000,46.96277819,44.99822266,46.01196614
000099.jpg,9.952500,47.31192470,45.30280705,46.34004261
000100.jpg,10.053000,47.66107121,45.62530817,46.67649722
000101.jpg,10.153600,47.99184159,45.94780929,47.00317066
000102.jpg,10.254100,48.32261196,46.27031040,47.32984467
000103.jpg,10.354600,48.63500621,46.59281152,47.64674424
000104.jpg,10.455100,48.98415272,46.91531264,47.98319433
000105.jpg,10.555600,49.31492310,47.18406357,48.28477015
000106.jpg,10.656100,49.60894121,47.47073123,48.57514443
000107.jpg,10.756700,49.90295932,47.75739889,48.86551917
000108.jpg,10.857200,50.21535357,48.06198328,49.17404282
000109.jpg,10.957700,50.49099555,48.29490076,49.42955039
000110.jpg,11.058200,50.78501366,48.54573496,49.70322104
000111.jpg,11.158700,51.04227951,48.84528027,49.98000854
000112.jpg,11.259200,51.31792149,49.11907028,50.25458724
000113.jpg,11.359700,51.57518734,49.33407102,50.49194547
000114.jpg,11.460300,51.85082932,49.58490523,50.75581612
000115.jpg,11.560800,52.05296678,49.78198924,50.95544692
000116.jpg,11.661300,52.29185649,50.05074018,51.20809238
000117.jpg,11.761800,52.53074621,50.24782419,51.42730241
000118.jpg,11.862300,52.76963593,50.46282494,51.65487660
000119.jpg,11.962800,52.97177338,50.67782568,51.86286237
000120.jpg,12.063400,53.15553470,50.85699297,52.04434598
000121.jpg,12.163900,53.33929602,51.01824353,52.21747293
000122.jpg,12.264400,53.48630508,51.19741082,52.37937925
000123.jpg,12.364900,53.67006640,51.34074465,52.54414253
000124.jpg,12.465400,53.79869932,51.50199521,52.68790378
000125.jpg,12.565900,53.99739125,51.66212597,52.86845461
000126.jpg,12.666500,54.14784583,51.77074614,52.99929229
000127.jpg,12.767000,54.25810262,51.89616324,53.11653329
000128.jpg,12.867500,54.34998329,52.03949707,53.23235992
000129.jpg,12.968000,54.44186395,52.12908071,53.32310274
000130.jpg,13.068500,54.55212074,52.20074763,53.41526414
000131.jpg,13.169000,54.62562527,52.30824800,53.50458850
000132.jpg,13.269500,54.69912979,52.39783165,53.58555558
000133.jpg,13.370100,54.79101045,52.45158183,53.65955735
000134.jpg,13.470600,54.86451498,52.48741529,53.71542782
000135.jpg,13.571100,54.90126725,52.55908220,53.76844845
000136.jpg,13.671600,54.95639564,52.63074912,53.83126325
000137.jpg,13.772100,54.99314791,52.70241604,53.88431323
000138.jpg,13.872600,55.04827630,52.70241604,53.91363668
000139.jpg,13.973200,55.07641476,52.73824949,53.94534938
000140.jpg,14.073700,55.04827630,52.77408295,53.94714316
000141.jpg,14.174200,55.10340470,52.82783314,54.00158974
000142.jpg,14.274700,55.12178083,52.84574987,54.01973861
000143.jpg,14.375200,55.14015696,52.84574987,54.02950348
000144.jpg,14.475700,55.15853310,52.88158332,54.05603633
000145.jpg,14.576200,55.19528536,52.93533351,54.10072293
000146.jpg,14.676800,55.21366149,52.95325024,54.11887187
000147.jpg,14.777300,55.23203762,52.95325024,54.12863181
000148.jpg,14.877800,55.21366149,52.98908370,54.13566363
000149.jpg,14.978300,55.25041376,53.02491715,54.17196182
000150.jpg,15.078800,55.26878989,53.04283388,54.19011092
000151.jpg,15.179300,55.28716602,53.06075061,54.20826001
000152.jpg,15.279900,55.30554215,53.09658407,54.23481229
000153.jpg,15.380400,55.32391829,53.09658407,54.24455821
000154.jpg,15.480900,55.37703681,53.16433170,54.30450458
000155.jpg,15.581400,55.41579895,53.15033425,54.31851036
000156.jpg,15.681900,55.41579895,53.20408444,54.34370734
000157.jpg,15.782400,55.43417508,53.20408444,54.35345284
000158.jpg,15.883000,55.45255121,53.25783463,54.38841405
000159.jpg,15.983500,55.48930347,53.27575136,54.41630406
000160.jpg,16.084000,55.50767961,53.31158481,54.44286180
000161.jpg,16.184500,55.53524380,53.34741827,54.47429174
000162.jpg,16.285000,55.61793640,53.38325173,54.53494398
000163.jpg,16.385500,55.65468866,53.41908519,54.57124222
000164.jpg,16.486000,55.67306479,53.43700191,54.58939134
000165.jpg,16.586600,55.69144093,53.49075210,54.62435439
000166.jpg,16.687100,55.72819319,53.54450229,54.66906688
000167.jpg,16.787600,55.78332159,53.56241902,54.70669112
000168.jpg,16.888100,55.80169772,53.56437864,54.71735430
000169.jpg,16.988600,55.82007385,53.66991939,54.77665587
000170.jpg,17.089100,55.87520225,53.70575285,54.82268064
000171.jpg,17.189700,55.93033064,53.74158630,54.86870960
000172.jpg,17.290200,56.00383517,53.77741976,54.92448159
000173.jpg,17.390700,56.02221130,53.81325322,54.95104129
000174.jpg,17.491200,56.09571583,53.88492013,55.02363842
000175.jpg,17.591700,56.15084423,53.95658705,55.08650179
000176.jpg,17.692200,56.15084423,53.97450378,55.09492183
000177.jpg,17.792800,56.20597263,54.02825396,55.14937010
000178.jpg,17.893300,56.26110102,54.09992088,55.21224333
000179.jpg,17.993800,56.33460555,54.13575434,55.26799538
000180.jpg,18.094300,56.38973395,54.17158779,55.31402711
000181.jpg,18.194800,56.42648621,54.24325471,55.36716323
000182.jpg,18.295300,56.48161461,54.29700490,55.42161153
000183.jpg,18.395800,56.55511913,54.35075508,55.48578782
000184.jpg,18.496400,56.62862366,54.38658854,55.54155540
000185.jpg,18.596900,56.68375206,54.45825546,55.60441606
000186.jpg,18.697400,56.72050432,54.49408891,55.64071469
000187.jpg,18.797900,56.79400885,54.60158929,55.73015206
000188.jpg,18.898400,56.81238498,54.60158929,55.73987916
000189.jpg,18.998900,56.88588951,54.65533947,55.80405860
000190.jpg,19.099500,56.96772071,54.75304162,55.89329822
000191.jpg,19.200000,57.03289857,54.79867330,55.94925325
000192.jpg,19.300500,57.08802696,54.83450676,55.99528689
000193.jpg,19.401000,57.12477923,54.90617367,56.04841889
000194.jpg,19.501500,57.19828376,54.97784059,56.12101651
000195.jpg,19.602000,57.25341215,55.03159078,56.17546474
000196.jpg,19.702500,57.32691668,55.06742423,56.23122751
000197.jpg,19.803100,57.36481745,55.10325769,56.26813460
000198.jpg,19.903600,57.43717347,55.17492461,56.34012323
000199.jpg,20.004100,57.51067800,55.26450825,56.42113627
000200.jpg,20.104600,57.56580640,55.28242498,56.45875667
000201.jpg,20.205100,57.60255866,55.33617517,56.50346689
000202.jpg,20.305600,57.67606319,55.40784208,56.57606409
000203.jpg,20.406200,57.71281546,55.47950900,56.62920026
000204.jpg,20.506700,57.74956772,55.51534245,56.66549912
000205.jpg,20.607200,57.80469612,55.56909264,56.71994743
000206.jpg,20.707700,57.84144838,55.60492610,56.75624630
000207.jpg,20.808200,57.93332904,55.69450974,56.84699350
000208.jpg,20.908700,57.97008130,55.73034320,56.88329239
000209.jpg,21.009200,58.04358583,55.74825993,56.93063702
000210.jpg,21.109800,58.06196197,55.80201011,56.96561745
000211.jpg,21.210300,58.13546649,55.89159376,57.04663742
000212.jpg,21.310800,58.17968406,55.94534394,57.09531251
000213.jpg,21.411300,58.22734715,55.98117740,57.13738469
000214.jpg,21.511800,58.26409942,56.03492759,57.18211083
000215.jpg,21.612300,58.31922781,56.08867777,57.23655939
000216.jpg,21.712900,58.35598008,56.16034469,57.28972657
000217.jpg,21.813400,58.42948461,56.19617815,57.34545652
000218.jpg,21.913900,58.46623687,56.23201160,57.38175557
000219.jpg,22.014400,58.51045444,56.30367852,57.43886904
000220.jpg,22.114900,58.57649366,56.37534543,57.50752227
000221.jpg,22.215400,58.64999819,56.39326216,57.55482240
000222.jpg,22.316000,58.64999819,56.44701235,57.58012087
000223.jpg,22.416500,58.70512659,56.50076254,57.63456982
000224.jpg,22.517000,58.74187885,56.51867926,57.66243167
000225.jpg,22.617500,58.79700725,56.59034618,57.72531808
000226.jpg,22.718000,58.81595763,56.62617964,57.75221303
000227.jpg,22.818500,58.90726404,56.67992982,57.82577807
000228.jpg,22.919000,58.96239244,56.75159674,57.88866500
000229.jpg,23.019600,59.03589697,56.78743020,57.94439128
000230.jpg,23.120100,59.05427310,56.80534693,57.96254083
000231.jpg,23.220600,59.09102536,56.85909711,58.00727414
000232.jpg,23.321100,59.14615376,56.93076403,58.07016165
000233.jpg,23.421600,59.16452989,56.96659748,58.09675435
000234.jpg,23.522100,59.21965829,56.98451421,58.13432143
000235.jpg,23.622700,59.27478668,57.03826440,58.18877028
000236.jpg,23.723200,59.31153895,57.07409786,58.22506952
000237.jpg,23.823700,59.36666734,57.14576477,58.28795772
000238.jpg,23.924200,59.40341961,57.18159823,58.32425708
000239.jpg,24.024700,59.44017187,57.19951496,58.35211687
000240.jpg,24.125200,59.49530027,57.25326514,58.40656575
000241.jpg,24.225800,59.49989430,57.31149451,58.43643520
000242.jpg,24.326300,59.53205253,57.32493206,58.45974895
000243.jpg,24.426800,59.58718093,57.36076552,58.50575389
000244.jpg,24.527300,59.60555706,57.43243243,58.54924935
000245.jpg,24.627800,59.66068546,57.45034916,58.58679712
000246.jpg,24.728300,59.69743772,57.46826589,58.61465202
000247.jpg,24.828800,59.73418998,57.50409935,58.65095140
000248.jpg,24.929400,59.77611054,57.55784953,58.69842466
000249.jpg,25.029900,59.80769451,57.61159972,58.74044423
000250.jpg,25.130400,59.80769451,57.61159972,58.74044423
000251.jpg,25.230900,59.86282291,57.64743318,58.78644431
000252.jpg,25.331400,59.88119904,57.68326664,58.81304343
000253.jpg,25.431900,59.89957517,57.71910009,58.83964689
000254.jpg,25.532500,59.93632744,57.73701682,58.86749283
000255.jpg,25.633000,59.95470357,57.77285028,58.89409645
000256.jpg,25.733500,59.99145583,57.80868374,58.93039616
000257.jpg,25.834000,5.59810488,4.52433235,5.14593766
