实验编号,照片,时间/s,点数,平均exx,平均eyy,平均exy,X向力/N,Y向力/N,边界σx/MPa,边界σy/MPa,等效应力/MPa,等效塑性应变,X虚场系数/N每MPa,Y虚场系数/N每MPa,阶段1内部虚功X/N,阶段1外部虚功X/N,阶段1残差X/N,阶段1内部虚功Y/N,阶段1外部虚功Y/N,阶段1残差Y/N,阶段2模型等效应力/MPa,阶段2内部虚功X/N,阶段2残差X/N,阶段2内部虚功Y/N,阶段2残差Y/N
S16_XY_0.2,000001.jpg,0.102000,10098,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0,0,0,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,,0.00000000,0.00000000,0.00000000,0.00000000
S16_XY_0.2,000002.jpg,0.202500,10098,-9.894929689e-06,2.934264211e-05,-4.024212715e-05,19.33562500,18.27562500,0.71062800,0.65487883,0.68445833,0.0002647155281,0.0008115521191,3.599881498e-05,2.47427140,19.33562500,-16.86135360,0.10975369,18.27562500,-18.16587131,,0.00000000,-19.33562500,0.00000000,-18.27562500
S16_XY_0.2,000003.jpg,0.303000,10098,-4.711338879e-05,0.0001690288176,2.035551594e-06,34.82000000,34.76000000,1.27971384,1.24557098,1.26298858,0.0004123906148,0.004792344445,0.0005284217146,14.61096649,34.82000000,-20.20903351,1.61105948,34.76000000,-33.14894052,,0.00000000,-34.82000000,0.00000000,-34.76000000
S16_XY_0.2,000004.jpg,0.403500,10098,0.0001757826302,0.0002336720143,-5.873519509e-05,50.82000000,49.26000000,1.86775006,1.76515612,1.81862475,0.0003421394922,0.00948552174,0.00855382236,28.91959080,50.82000000,-21.90040920,26.07901275,49.26000000,-23.18098725,,0.00000000,-50.82000000,0.00000000,-49.26000000
S16_XY_0.2,000005.jpg,0.504100,10098,0.000271067043,0.000284607348,-3.398890869e-06,66.82000000,65.26000000,2.45578629,2.33849144,2.39929017,0.0004277638006,0.01222953933,0.01226830441,37.28558985,66.82000000,-29.53441015,37.40377737,65.26000000,-27.85622263,,0.00000000,-66.82000000,0.00000000,-65.26000000
S16_XY_0.2,000006.jpg,0.604600,10098,0.0002696795405,0.0003807672806,1.726024955e-05,81.82000000,79.26000000,3.00707025,2.84015985,2.92718624,0.0005489738637,0.01525764498,0.01339423957,46.51772053,81.82000000,-35.30227947,40.83654415,79.26000000,-38.42345585,,0.00000000,-81.82000000,0.00000000,-79.26000000
S16_XY_0.2,000007.jpg,0.705100,10098,0.0003658183799,0.0004561756784,1.650980392e-05,97.32000000,94.26000000,3.57673035,3.37766171,3.48146714,0.0006039417267,0.01878666422,0.01743448971,57.27704354,97.32000000,-40.04295646,53.15451507,94.26000000,-41.10548493,,0.00000000,-97.32000000,0.00000000,-94.26000000
S16_XY_0.2,000008.jpg,0.805600,10098,0.0005338006536,0.0005837539117,-1.284274114e-05,112.32000000,110.26000000,4.12801431,3.95099703,4.04241356,0.0005391048002,0.02482047009,0.02444304543,75.67299492,112.32000000,-36.64700508,74.52229737,110.26000000,-35.73770263,,0.00000000,-112.32000000,0.00000000,-110.26000000
S16_XY_0.2,000009.jpg,0.906100,10098,0.000608630917,0.0006955433749,-1.961853832e-05,128.44500000,125.44750000,4.72064457,4.49521767,4.61206485,0.0005855571166,0.0292483739,0.02823436454,89.17284972,128.44500000,-39.27215028,86.08132387,125.44750000,-39.36617613,,0.00000000,-128.44500000,0.00000000,-125.44750000
S16_XY_0.2,000010.jpg,1.006600,10098,0.0006630647653,0.0008365696177,-2.391691424e-05,144.82000000,141.76000000,5.32246290,5.07975094,5.20535253,0.0006344767275,0.03435979276,0.03171937375,104.75661475,144.82000000,-40.06338525,96.70646848,141.76000000,-45.05353152,,0.00000000,-144.82000000,0.00000000,-141.76000000
S16_XY_0.2,000011.jpg,1.107200,10098,0.0008125874431,0.0008796705288,1.126767677e-05,159.32000000,156.76000000,5.85537073,5.61725281,5.74001723,0.0006601426667,0.03749973664,0.03709975589,114.32971937,159.32000000,-44.99028063,113.11025251,156.76000000,-43.64974749,,0.00000000,-159.32000000,0.00000000,-156.76000000
S16_XY_0.2,000012.jpg,1.207700,10098,0.000922496534,0.001093477124,2.536333928e-05,173.82000000,172.26000000,6.38827856,6.17267140,6.28325002,0.0005613763393,0.04557416325,0.0432725244,138.94714369,173.82000000,-34.87285631,131.92987511,172.26000000,-40.33012489,,0.00000000,-173.82000000,0.00000000,-172.26000000
S16_XY_0.2,000013.jpg,1.308200,10098,0.00098531224,0.001103543573,1.131352743e-05,189.32000000,186.26000000,6.95793865,6.67433980,6.82056267,0.0007058735991,0.04663870109,0.0454349524,142.19272147,189.32000000,-47.12727853,138.52271572,186.26000000,-47.73728428,,0.00000000,-189.32000000,0.00000000,-186.26000000
S16_XY_0.2,000014.jpg,1.408700,10098,0.001178097247,0.001278591899,-3.237443058e-05,204.32000000,200.76000000,7.50922261,7.19392494,7.35664302,0.0005591937351,0.05446997274,0.05382700802,166.06881158,204.32000000,-38.25118842,164.10853176,200.76000000,-36.65146824,,0.00000000,-204.32000000,0.00000000,-200.76000000
S16_XY_0.2,000015.jpg,1.509200,10098,0.001260959794,0.001345386611,-5.54282036e-05,219.32000000,215.76000000,8.06050658,7.73142680,7.90110815,0.0006352773018,0.05756863783,0.05733123744,175.51606487,219.32000000,-43.80393513,174.79227524,215.76000000,-40.96772476,,0.00000000,-219.32000000,0.00000000,-215.76000000
S16_XY_0.2,000016.jpg,1.609700,10098,0.001385412854,0.001494670826,-6.564666271e-07,233.82000000,230.26000000,8.59341441,8.25101194,8.42743165,0.0005735793562,0.06377286323,0.06319057459,194.43159366,233.82000000,-39.38840634,192.65630394,230.26000000,-37.60369606,,0.00000000,-233.82000000,0.00000000,-230.26000000
S16_XY_0.2,000017.jpg,1.710300,10098,0.001599175084,0.001589217271,-3.959893048e-05,251.32000000,248.26000000,9.23657903,8.89601417,9.07109268,0.0005390566006,0.06930437945,0.07128351773,211.29615736,251.32000000,-40.02384264,217.33018172,248.26000000,-30.92981828,,0.00000000,-251.32000000,0.00000000,-248.26000000
S16_XY_0.2,000018.jpg,1.810800,10098,0.001691199643,0.001659800158,-5.382551e-05,265.82000000,261.76000000,9.76948686,9.37976585,9.58057314,0.0005901529281,0.07263176591,0.07513140009,221.44073954,265.82000000,-44.37926046,229.06165904,261.76000000,-32.69834096,,0.00000000,-265.82000000,0.00000000,-261.76000000
S16_XY_0.2,000019.jpg,1.911300,10098,0.001747871856,0.001908777184,-4.627143989e-05,280.82000000,275.76000000,10.32077082,9.88143426,10.10826568,0.0004881667153,0.08118765818,0.08000367251,247.52606306,280.82000000,-33.29393694,243.91631107,275.76000000,-31.84368893,,0.00000000,-280.82000000,0.00000000,-275.76000000
S16_XY_0.2,000020.jpg,2.011800,10098,0.001912804219,0.00205306328,-7.635947712e-05,295.32000000,289.76000000,10.85367865,10.38310266,10.62620824,0.0003996922822,0.0877142502,0.08711664787,267.42442772,295.32000000,-27.89557228,265.60244942,289.76000000,-24.15755058,,0.00000000,-295.32000000,0.00000000,-289.76000000
S16_XY_0.2,000021.jpg,2.112300,10098,0.002012516142,0.002181301248,2.268736383e-05,309.82000000,304.76000000,11.38658648,10.92060452,11.16089365,0.0003807605732,0.09295836303,0.09191626302,283.41275196,309.82000000,-26.40724804,280.23558293,304.76000000,-24.52441707,,0.00000000,-309.82000000,0.00000000,-304.76000000
S16_XY_0.2,000022.jpg,2.212800,10098,0.002149685482,0.002255626956,-5.181689443e-05,324.32000000,318.26000000,11.91949431,11.40435620,11.67045527,0.0003876836792,0.09694026216,0.09727573101,295.55282150,324.32000000,-28.76717850,296.57560359,318.26000000,-21.68439641,,0.00000000,-324.32000000,0.00000000,-318.26000000
S16_XY_0.2,000023.jpg,2.313300,10098,0.002284190236,0.002377658942,-5.920162408e-05,338.82000000,332.76000000,12.45240214,11.92394134,12.19676119,0.0003522194149,0.1024009826,0.1031296161,312.20154206,338.82000000,-26.61845794,314.42301004,332.76000000,-18.33698996,,0.00000000,-338.82000000,0.00000000,-332.76000000
S16_XY_0.2,000024.jpg,2.413900,10098,0.002418954843,0.002522908299,-8.529312735e-06,354.46843700,348.97875000,13.02751763,12.50511523,12.77433025,0.0003021511072,0.108599888,0.1092746702,331.10085101,354.46843700,-23.36758599,333.15813650,348.97875000,-15.82061350,,0.00000000,-354.46843700,0.00000000,-348.97875000
S16_XY_0.2,000025.jpg,2.514400,10098,0.002536624678,0.002651713409,-8.821697366e-05,369.32000000,362.26000000,13.57334620,12.98102833,13.28709269,0.0002885032385,0.1140751737,0.1146643473,347.79397837,369.32000000,-21.52602163,349.59025912,362.26000000,-12.66974088,,0.00000000,-369.32000000,0.00000000,-362.26000000
S16_XY_0.2,000026.jpg,2.614900,10098,0.002580028025,0.002841678649,-8.184303823e-05,384.82000000,376.76000000,14.14300629,13.50061347,13.83300147,0.0002632555912,0.1206051143,0.1183871149,367.70255242,384.82000000,-17.11744758,360.94028496,376.76000000,-15.81971504,,0.00000000,-384.82000000,0.00000000,-376.76000000
S16_XY_0.2,000027.jpg,2.715400,10098,0.00276310814,0.002915647158,-6.751891464e-05,398.82000000,390.76000000,14.65753799,14.00228187,14.34114149,0.00022689788,0.1251208076,0.1252331148,381.47006089,398.82000000,-17.34993911,381.81246478,390.76000000,-8.94753522,,0.00000000,-398.82000000,0.00000000,-390.76000000
S16_XY_0.2,000028.jpg,2.815900,10098,0.002836492969,0.003131148247,-4.067706477e-05,412.82000000,404.26000000,15.17206969,14.48603355,14.84094863,0.0001219352078,0.1328152281,0.1302404489,404.92891727,412.82000000,-7.89108273,397.07889475,404.26000000,-7.18110525,,0.00000000,-412.82000000,0.00000000,-404.26000000
S16_XY_0.2,000029.jpg,2.916400,10098,0.003004755991,0.003222716974,-8.559001783e-05,426.82000000,418.26000000,15.68660139,14.98770196,15.34909010,0.000128851318,0.1377122478,0.1368196141,419.85901935,426.82000000,-6.96098065,417.13754500,418.26000000,-1.12245500,,0.00000000,-426.82000000,0.00000000,-418.26000000
S16_XY_0.2,000030.jpg,3.017000,10098,0.003196050208,0.003447857893,-6.971449792e-05,440.82000000,432.26000000,16.20113309,15.48937036,15.85723673,0.0001726573038,0.147111832,0.1457732635,448.51660248,440.82000000,7.69660248,444.43555609,432.26000000,12.17555609,,0.00000000,-440.82000000,0.00000000,-432.26000000
S16_XY_0.2,000031.jpg,3.117500,10098,0.003244610319,0.003441416221,-7.063061992e-05,455.78875000,446.46312500,16.75126854,15.99831744,16.38777126,0.0001191887393,0.1474844377,0.1472717346,449.65260794,455.78875000,-6.13614206,449.00411557,446.46312500,2.54099057,,0.00000000,-455.78875000,0.00000000,-446.46312500
