样本末帧,E/MPa,虚功均方根残差/N,样本点数,Y/MPa,H/MPa,拟合均方根残差/MPa
000005.jpg,4004.726186251199,4.859447854882193,4,,,
000006.jpg,4610.877389408999,7.6278134609598025,6,,,
000007.jpg,4459.005957540896,7.0894750332041,8,,,
000008.jpg,4360.167277429199,7.3793449610814,10,,,
000009.jpg,4276.685426755719,7.312923623384773,12,,,
000010.jpg,4290.79914102581,6.857682719582432,14,,,
000011.jpg,4397.64541740921,8.066555421039501,16,,,
000012.jpg,4446.898071052437,8.05132036762136,18,,,
000013.jpg,4424.078919071541,7.754327072414116,20,,,
000014.jpg,4449.038045053014,7.626907291058335,22,,,
000015.jpg,4477.853828602561,7.727442849135021,24,,,
000016.jpg,4509.443964800653,7.949216170088002,26,,,
000017.jpg,4535.613518139299,8.085044709262442,28,,,
000018.jpg,4578.717288766623,9.178196954789717,30,,,
000019.jpg,4586.839788153216,8.941995253677335,32,,,
000020.jpg,4577.065493044682,8.781172000470667,34,,,
000021.jpg,4582.639606216624,8.573274631191335,36,,,
000022.jpg,4596.844870880767,8.69296138249345,38,,,
000023.jpg,4614.378769958304,9.01572872317901,40,,,
000024.jpg,4614.647076419425,8.856658121054293,42,,,
000025.jpg,4611.582807869811,8.792186506116787,44,,,
000026.jpg,4608.697251921757,8.714649327956627,46,,,
000027.jpg,4613.552190285437,8.749173566377111,48,,,
000028.jpg,4616.488516160343,8.614268625877767,50,,,
000029.jpg,4624.112318596818,8.982148868589782,52,,,
000030.jpg,4619.912017663699,8.973102907610489,54,,,
000031.jpg,4618.926302928102,9.005905353053864,56,,,
000032.jpg,4618.48960557499,8.971195146296848,58,,,
000033.jpg,4615.781512580747,9.03851445658069,60,,,
000034.jpg,4613.866107688374,9.050266943725426,62,,,
000035.jpg,4612.725445652899,9.027508358095325,64,,,
000036.jpg,4606.810141584899,9.313460723477377,66,,,
000034.jpg,,,2,-22.042521428125617,50351.47572711693,7.105427357601002e-15
000035.jpg,,,3,-25.360254406013247,53563.53472567959,0.031171113818570958
000036.jpg,,,4,18.62753349886441,11419.547896812113,0.5284918154614624
000037.jpg,,,5,18.004256591774954,12009.492597275685,0.4750880220231227
000038.jpg,,,6,18.799928854607792,11275.427545278313,0.4413171794383753
000039.jpg,,,7,18.556189518518657,11496.921284568214,0.41057359614571715
000040.jpg,,,8,17.449435989107563,12503.05536367326,0.4819470193298763
000041.jpg,,,9,18.38606940301425,11691.751404460227,0.4965801728677292
000042.jpg,,,10,19.116966289643543,11073.522258159426,0.5062971044835195
000043.jpg,,,11,19.53647911921632,10725.600747214241,0.5001598505612086
000044.jpg,,,12,19.58637292376067,10684.812799202919,0.47925872360567345
000045.jpg,,,13,19.597129118929573,10676.196286872979,0.46048122345431325
000046.jpg,,,14,19.279819951221086,10929.686659189,0.4776145903905442
000047.jpg,,,15,19.8930153985376,10464.733099156481,0.5437974605862551
000048.jpg,,,16,20.084837197236297,10320.54002441166,0.5379451150696368
000049.jpg,,,17,20.734094709071016,9851.810334041262,0.6289890439956282
000050.jpg,,,18,21.068273337890307,9613.273313145191,0.6483257320996078
000051.jpg,,,19,21.145624440693798,9558.388953503772,0.6338607069380835
000052.jpg,,,20,21.61999830194287,9235.034616395384,0.7078825485282322
000053.jpg,,,21,22.325043095092,8770.593544722882,0.8592265984962761
000054.jpg,,,22,22.72928841071093,8506.712431909351,0.9080162528548004
000055.jpg,,,23,23.478978765475055,8038.0690846186,1.0740924227095112
000056.jpg,,,24,23.864706524113863,7797.8228065168005,1.11761162803299
000057.jpg,,,25,24.318622663130604,7523.0823943143605,1.1872783463940049
000058.jpg,,,26,24.81679275350264,7228.577871506943,1.2810837698039366
000059.jpg,,,27,25.297112095812466,6951.279792444622,1.3704549414671294
000060.jpg,,,28,25.701716727186557,6721.852913277145,1.4355557128437353
000061.jpg,,,29,26.045318565226317,6530.324689087231,1.4835765102165397
000062.jpg,,,30,26.525300059746428,6272.971462724312,1.5862571492978785
000063.jpg,,,31,27.000412599822674,6023.845596714657,1.691922158558236
000064.jpg,,,32,27.446658244824096,5794.619070649134,1.7891114391468466
000065.jpg,,,33,27.9164593610913,5559.982755136681,1.897997600812092
000066.jpg,,,34,28.321053906877072,5361.221782760003,1.981921405495973
000067.jpg,,,35,28.756104258121375,5153.574750371689,2.0816150199979075
000068.jpg,,,36,29.19756121168019,4948.1303749409835,2.1871524639395865
000069.jpg,,,37,29.56499469610859,4778.881967036022,2.2656104329498143
000070.jpg,,,38,30.018019649946233,4578.196481089707,2.38410331235825
000071.jpg,,,39,30.422412860974955,4402.021463018107,2.482439244582792
000072.jpg,,,40,30.871982385338725,4212.459356045167,2.603279994588632
000073.jpg,,,41,31.314912277711763,4030.095678355047,2.722752555425701
000074.jpg,,,42,31.785367408688057,3842.1144426269393,2.8567156841503154
000075.jpg,,,43,32.234122125774455,3666.594169266619,2.9820235831371944
000076.jpg,,,44,32.65007364195921,3507.033665054637,3.092961750380085
000077.jpg,,,45,33.08119057076002,3346.357312920754,3.2122365171581158
