照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000095.jpg,1.892200,56.14232020,55.25597385,55.70443597
000096.jpg,1.912200,56.19929665,55.33070114,55.77007213
000097.jpg,1.932300,56.23728096,55.36806478,55.80774993
000098.jpg,1.952300,56.33224172,55.44279207,55.89282499
000099.jpg,1.972300,56.38921817,55.51751936,55.95846112
000100.jpg,1.992300,56.44619463,55.59224666,56.02410197
000101.jpg,2.012400,56.52216323,55.62961030,56.08121401
000102.jpg,2.032400,56.56257853,55.68102268,56.12699314
000103.jpg,2.052400,56.63611614,55.74170124,56.19424742
000104.jpg,2.072400,56.69309260,55.79774670,56.25076413
000105.jpg,2.092400,56.75006906,55.87247399,56.31640019
000106.jpg,2.112500,56.80704551,55.90983764,56.36379754
000107.jpg,2.132500,56.86402197,55.98456493,56.42943358
000108.jpg,2.152500,56.88301412,56.02192857,56.45739652
000109.jpg,2.172500,56.95898273,56.09665586,56.53275210
000110.jpg,2.192600,56.99696703,56.13401951,56.57042989
000111.jpg,2.212600,57.03495133,56.20874680,56.62636976
000112.jpg,2.232600,57.05394348,56.24611044,56.65434671
000113.jpg,2.252600,57.08509061,56.28870500,56.69109326
000114.jpg,2.272700,57.12991209,56.33951956,56.73884489
000115.jpg,2.292700,57.18688855,56.37688320,56.78621879
000116.jpg,2.312700,57.22487285,56.45161049,56.84218651
000117.jpg,2.332700,57.24386500,56.50765596,56.87933397
000118.jpg,2.352800,57.26285716,56.54501961,56.90733407
000119.jpg,2.372800,57.28184931,56.56370143,56.92617287
000120.jpg,2.392800,57.31983361,56.60106507,56.96385047
000121.jpg,2.412800,57.37681007,56.63842872,57.01120569
000122.jpg,2.432900,57.39580222,56.67579236,57.03920567
000123.jpg,2.452900,57.41479437,56.69447419,57.05804447
000124.jpg,2.472900,57.41479437,56.72825092,57.07461961
000125.jpg,2.492900,57.45277867,56.73183783,57.09572207
000126.jpg,2.513000,52.53381135,51.59433663,52.07043076
000127.jpg,2.533000,29.74322915,28.33546754,29.06492898
000128.jpg,2.553000,6.40187454,5.26341669,5.91538837
