frame_index,photo,time_role,photo_time_s,Boundary0_X2_N,Boundary1_Y2_N,Boundary2_Y1_N,Boundary3_X1_N
66,000066.jpg,synchronized,6.605915492958,879.000000,870.960000,880.700000,865.360000
67,000067.jpg,synchronized,6.705929577465,891.000000,883.960000,892.700000,878.360000
68,000068.jpg,synchronized,6.805943661972,902.000000,894.960000,903.700000,888.360000
69,000069.jpg,synchronized,6.905957746479,914.000000,905.960000,915.700000,900.360000
70,000070.jpg,synchronized,7.005971830986,926.000000,916.960000,926.700000,910.360000
71,000071.jpg,synchronized,7.105985915493,936.000000,929.960000,938.700000,921.360000
72,000072.jpg,synchronized,7.206000000000,949.000000,941.960000,950.700000,933.360000
73,000073.jpg,synchronized,7.306014084507,960.014085,950.988169,961.714085,944.416338
74,000074.jpg,synchronized,7.406028169014,971.000000,964.960000,974.700000,958.360000
75,000075.jpg,synchronized,7.506042253521,982.000000,976.960000,986.700000,969.360000
76,000076.jpg,synchronized,7.606056338028,993.000000,987.960000,997.700000,980.360000
77,000077.jpg,synchronized,7.706070422535,1005.000000,997.960000,1007.700000,991.360000
78,000078.jpg,synchronized,7.806084507042,1015.000000,1008.960000,1019.700000,1001.360000
79,000079.jpg,synchronized,7.906098591549,1026.000000,1020.960000,1030.700000,1011.360000
80,000080.jpg,synchronized,8.006112676056,1037.000000,1031.960000,1041.700000,1022.360000
81,000081.jpg,synchronized,8.106126760563,1048.000000,1041.960000,1052.700000,1032.360000
82,000082.jpg,synchronized,8.206140845070,1059.000000,1052.960000,1063.700000,1042.360000
83,000083.jpg,synchronized,8.306154929577,1069.000000,1062.960000,1073.700000,1052.360000
84,000084.jpg,synchronized,8.406169014085,1080.000000,1074.129014,1084.038028,1064.036056
85,000085.jpg,synchronized,8.506183098592,1091.000000,1085.960000,1096.700000,1077.360000
86,000086.jpg,synchronized,8.606197183099,1101.000000,1095.960000,1105.700000,1087.360000
87,000087.jpg,synchronized,8.706211267606,1110.000000,1106.960000,1116.700000,1096.360000
88,000088.jpg,synchronized,8.806225352113,1120.000000,1116.960000,1126.700000,1106.360000
89,000089.jpg,synchronized,8.906239436620,1130.000000,1126.960000,1136.700000,1116.360000
90,000090.jpg,synchronized,9.006253521127,1140.000000,1135.960000,1145.700000,1125.360000
91,000091.jpg,synchronized,9.106267605634,1150.000000,1145.960000,1156.700000,1135.360000
92,000092.jpg,synchronized,9.206281690141,1160.000000,1156.960000,1166.700000,1144.360000
