照片,时间/s,σx/MPa,σy/MPa,等效应力/MPa
000003.jpg,0.050000,0.00000000,0.00000000,0.00000000
000004.jpg,0.070300,10.63547881,10.18487571,10.41748880
000005.jpg,0.090500,15.23049773,14.81517416,15.02714111
000006.jpg,0.110800,24.61953243,23.75521194,24.19895164
000007.jpg,0.131100,34.08092964,32.69524971,33.40964852
000008.jpg,0.151400,42.94533621,41.22568417,42.11185190
000009.jpg,0.171600,51.01375524,49.13280921,50.09977107
000010.jpg,0.191900,58.15955237,55.91797733,57.07178979
000011.jpg,0.212200,61.45698006,59.06528507,60.29671842
000012.jpg,0.232500,59.13644616,56.61252209,57.91574533
000013.jpg,0.252700,34.15329215,31.68014582,32.98632638
000014.jpg,0.273000,6.90880993,5.67923914,6.38346521
