照片,时间/s,X向力/N,Y向力/N,DIC导出文件,DIC数据来源,合并文件,点数,DAT原始点数,排除无效点数,状态
000168.jpg,16.8177,0.000000,1365.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000168.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000168_DIC全场—力.csv,6166,6168,2,READY
000176.jpg,17.6205,0.000000,1374.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000176.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000176_DIC全场—力.csv,6166,6168,2,READY
000184.jpg,18.4233,0.000000,1378.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000184.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000184_DIC全场—力.csv,6166,6168,2,READY
000192.jpg,19.2262,0.000000,1380.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000192.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000192_DIC全场—力.csv,6166,6168,2,READY
000200.jpg,20.0290,0.000000,1379.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000200.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000200_DIC全场—力.csv,6166,6168,2,READY
000208.jpg,20.8318,0.000000,1378.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000208.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000208_DIC全场—力.csv,6166,6168,2,READY
000216.jpg,21.6347,0.000000,1378.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000216.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000216_DIC全场—力.csv,6166,6168,2,READY
000224.jpg,22.4375,0.000000,1378.800000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000224.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000224_DIC全场—力.csv,6166,6168,2,READY
000232.jpg,23.2403,0.000000,1379.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000232.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000232_DIC全场—力.csv,6166,6168,2,READY
000240.jpg,24.0431,0.000000,1380.300000,D:\2026.9.21_finally\_matchid_export\S22_Y_0.2\000240.jpg.csv,DAT_RECONSTRUCTED,D:\2026.9.21_finally\Agents\PA12实验数据处理\MatchID_VFM准备\S22_Y_0.2\merged\000240_DIC全场—力.csv,6166,6168,2,READY
